dataset,issue_type,affected_rows,observed_rate
order_items,exact_duplicate_payload,3303,0.0196
products,missing_brand,126,0.021
orders,missing_shipping_method,1378,0.03062
products,schema_evolution_category_attributes,2722,0.45367
bad_snapshots,invalid_json,1,0.25
bad_snapshots,invalid_timestamp,1,0.25
bad_snapshots,missing_required_key,1,0.25
bad_snapshots,unknown_schema_version,1,0.25
commerce_events,exact_duplicate_event_payload,4640,0.01478
commerce_events,missing_device_type,12523,0.03988
commerce_events,late_arrival,37553,0.11959
dead_letter_events,invalid_json,1,0.25
dead_letter_events,invalid_timestamp,1,0.25
dead_letter_events,missing_required_key,1,0.25
dead_letter_events,unknown_schema_version,1,0.25
