metric,value
hcmc_hanoi_customer_share,0.453
fmcg_elha_product_share,0.66933
missing_brand_rate,0.021
missing_shipping_method_rate,0.03062
order_session_link_rate,1.0
offline_order_item_duplicate_rate,0.0196
issue_order_items_exact_duplicate_payload,0.0196
issue_products_missing_brand,0.021
issue_orders_missing_shipping_method,0.03062
issue_products_schema_evolution_category_attributes,0.45367
issue_bad_snapshots_invalid_json,0.25
issue_bad_snapshots_invalid_timestamp,0.25
issue_bad_snapshots_missing_required_key,0.25
issue_bad_snapshots_unknown_schema_version,0.25
issue_commerce_events_exact_duplicate_event_payload,0.01478
issue_commerce_events_missing_device_type,0.03988
issue_commerce_events_late_arrival,0.11959
issue_dead_letter_events_invalid_json,0.25
issue_dead_letter_events_invalid_timestamp,0.25
issue_dead_letter_events_missing_required_key,0.25
issue_dead_letter_events_unknown_schema_version,0.25
