snapshot_id,product_id,seller_id,snapshot_ts,stock_on_hand,reserved_stock
INV-20260303-00000001,PRD-FMCG-00000001,SEL-DAD-STA-00000267,2026-03-03,150,22
INV-20260303-00000002,PRD-HOME-LIVING-00000002,SEL-DAD-OFF-00000546,2026-03-03,61,7
INV-20260303-00000003,PRD-FMCG-00000003,SEL-BDG-NEW-00000470,2026-03-03,173,20
INV-20260303-00000004,PRD-FMCG-00000004,SEL-HPH-STA-00000450,2026-03-03,203,15
INV-20260303-00000005,PRD-FASHION-00000005,SEL-HCM-PRE-00000507,2026-03-03,67,1
INV-20260303-00000006,PRD-ELHA-00000006,SEL-HAN-OFF-00000510,2026-03-03,57,2
INV-20260303-00000007,PRD-FMCG-00000007,SEL-DNA-OFF-00000003,2026-03-03,191,17
INV-20260303-00000008,PRD-FASHION-00000008,SEL-NTR-NEW-00000128,2026-03-03,68,2
INV-20260303-00000009,PRD-FMCG-00000009,SEL-HAN-PRE-00000054,2026-03-03,201,15
INV-20260303-00000010,PRD-ELHA-00000010,SEL-HCM-STA-00000540,2026-03-03,54,3
INV-20260303-00000011,PRD-HOME-LIVING-00000011,SEL-HUI-STA-00000064,2026-03-03,75,7
INV-20260303-00000012,PRD-FMCG-00000012,SEL-HAN-PRE-00000216,2026-03-03,177,25
INV-20260303-00000013,PRD-FASHION-00000013,SEL-HCM-STA-00000107,2026-03-03,47,4
INV-20260303-00000014,PRD-ELHA-00000014,SEL-HAN-STA-00000347,2026-03-03,66,6
INV-20260303-00000015,PRD-HOME-LIVING-00000015,SEL-HCM-PRE-00000263,2026-03-03,50,6
INV-20260303-00000016,PRD-FASHION-00000016,SEL-HAN-NEW-00000529,2026-03-03,51,4
INV-20260303-00000017,PRD-FMCG-00000017,SEL-HCM-OFF-00000389,2026-03-03,180,16
INV-20260303-00000018,PRD-FASHION-00000018,SEL-DAD-OFF-00000117,2026-03-03,61,4
INV-20260303-00000019,PRD-FASHION-00000019,SEL-HUI-NEW-00000518,2026-03-03,50,2
INV-20260303-00000020,PRD-ELHA-00000020,SEL-HCM-OFF-00000580,2026-03-03,54,3
