event_id,event_type,event_topic,schema_version,event_timestamp,created_ts,producer,correlation_ids,payload
KEVT-CAT-PROMOTION-CREATED-20260226-0000000008,promotion_created,catalog_events,1,2026-02-26T21:28:14,2026-02-26T21:28:14,vina_bim_shop.synthetic_source,"{'promotion_id': 'PRM-FMCG-00000008', 'seller_id': None}","{'promotion_name': 'Platform FMCG Campaign', 'funding_type': 'platform', 'funding_detail': {}, 'category': 'FMCG', 'discount_rate': 0.254}"
KEVT-CAT-PROMOTION-CREATED-20260227-0000000020,promotion_created,catalog_events,1,2026-02-27T19:49:02,2026-02-27T19:49:02,vina_bim_shop.synthetic_source,"{'promotion_id': 'PRM-FMCG-00000020', 'seller_id': 'SEL-BDG-NEW-00000057'}","{'promotion_name': 'Mixed FMCG Campaign', 'funding_type': 'mixed', 'funding_detail': {}, 'category': 'FMCG', 'discount_rate': 0.204}"
KEVT-CAT-PROMOTION-CREATED-20260227-0000000080,promotion_created,catalog_events,1,2026-02-27T21:35:19,2026-02-27T21:35:19,vina_bim_shop.synthetic_source,"{'promotion_id': 'PRM-FASHION-00000080', 'seller_id': 'SEL-HCM-PRE-00000227'}","{'promotion_name': 'Seller Fashion Campaign', 'funding_type': 'seller', 'funding_detail': {}, 'category': 'Fashion', 'discount_rate': 0.202}"
KEVT-CAT-PROMOTION-CREATED-20260228-0000000056,promotion_created,catalog_events,1,2026-02-28T10:05:19,2026-02-28T10:05:19,vina_bim_shop.synthetic_source,"{'promotion_id': 'PRM-FASHION-00000056', 'seller_id': None}","{'promotion_name': 'Platform Fashion Campaign', 'funding_type': 'platform', 'funding_detail': {}, 'category': 'Fashion', 'discount_rate': 0.204}"
KEVT-CAT-PROMOTION-CREATED-20260228-0000000032,promotion_created,catalog_events,1,2026-02-28T10:44:08,2026-02-28T10:44:08,vina_bim_shop.synthetic_source,"{'promotion_id': 'PRM-FASHION-00000032', 'seller_id': 'SEL-OVN-OFF-00000254'}","{'promotion_name': 'Mixed Fashion Campaign', 'funding_type': 'mixed', 'funding_detail': {}, 'category': 'Fashion', 'discount_rate': 0.161}"
KEVT-CAT-PROMOTION-CREATED-20260228-0000000038,promotion_created,catalog_events,1,2026-02-28T11:59:01,2026-02-28T11:59:01,vina_bim_shop.synthetic_source,"{'promotion_id': 'PRM-FMCG-00000038', 'seller_id': None}","{'promotion_name': 'Platform FMCG Campaign', 'funding_type': 'platform', 'funding_detail': {}, 'category': 'FMCG', 'discount_rate': 0.108}"
KEVT-CAT-PROMOTION-CREATED-20260301-0000000065,promotion_created,catalog_events,1,2026-03-01T02:09:21,2026-03-01T02:09:21,vina_bim_shop.synthetic_source,"{'promotion_id': 'PRM-FMCG-00000065', 'seller_id': 'SEL-HAN-PRE-00000054'}","{'promotion_name': 'Seller FMCG Campaign', 'funding_type': 'seller', 'funding_detail': {}, 'category': 'FMCG', 'discount_rate': 0.065}"
KEVT-CAT-PROMOTION-CREATED-20260301-0000000055,promotion_created,catalog_events,1,2026-03-01T07:10:17,2026-03-01T07:10:17,vina_bim_shop.synthetic_source,"{'promotion_id': 'PRM-FMCG-00000055', 'seller_id': None}","{'promotion_name': 'Platform FMCG Campaign', 'funding_type': 'platform', 'funding_detail': {}, 'category': 'FMCG', 'discount_rate': 0.15}"
KEVT-CAT-PROMOTION-CREATED-20260301-0000000064,promotion_created,catalog_events,1,2026-03-01T20:04:37,2026-03-01T20:04:37,vina_bim_shop.synthetic_source,"{'promotion_id': 'PRM-FASHION-00000064', 'seller_id': None}","{'promotion_name': 'Platform Fashion Campaign', 'funding_type': 'platform', 'funding_detail': {}, 'category': 'Fashion', 'discount_rate': 0.159}"
KEVT-CAT-PROMOTION-CREATED-20260302-0000000063,promotion_created,catalog_events,1,2026-03-02T18:24:29,2026-03-02T18:24:29,vina_bim_shop.synthetic_source,"{'promotion_id': 'PRM-FMCG-00000063', 'seller_id': 'SEL-HCM-STA-00000329'}","{'promotion_name': 'Seller FMCG Campaign', 'funding_type': 'seller', 'funding_detail': {}, 'category': 'FMCG', 'discount_rate': 0.203}"
KEVT-CAT-PROMOTION-CREATED-20260302-0000000021,promotion_created,catalog_events,1,2026-03-02T18:56:40,2026-03-02T18:56:40,vina_bim_shop.synthetic_source,"{'promotion_id': 'PRM-ELHA-00000021', 'seller_id': 'SEL-NTR-OFF-00000417'}","{'promotion_name': 'Seller ELHA Campaign', 'funding_type': 'seller', 'funding_detail': {}, 'category': 'ELHA', 'discount_rate': 0.198}"
KEVT-CAT-INVENTORY-LOW-STOCK-20260303-0000000001,inventory_low_stock,catalog_events,1,2026-03-03T00:00:00,2026-03-03T00:00:00,vina_bim_shop.synthetic_source,"{'snapshot_id': 'INV-20260303-00000059', 'product_id': 'PRD-HOME-LIVING-00000059', 'seller_id': 'SEL-DAD-PRE-00000367'}","{'stock_on_hand': 44, 'threshold': 46.0}"
KEVT-CAT-INVENTORY-LOW-STOCK-20260303-0000000002,inventory_low_stock,catalog_events,1,2026-03-03T00:00:00,2026-03-03T00:00:00,vina_bim_shop.synthetic_source,"{'snapshot_id': 'INV-20260303-00000077', 'product_id': 'PRD-FASHION-00000077', 'seller_id': 'SEL-HAN-STA-00000299'}","{'stock_on_hand': 40, 'threshold': 46.0}"
KEVT-CAT-INVENTORY-LOW-STOCK-20260303-0000000003,inventory_low_stock,catalog_events,1,2026-03-03T00:00:00,2026-03-03T00:00:00,vina_bim_shop.synthetic_source,"{'snapshot_id': 'INV-20260303-00000090', 'product_id': 'PRD-ELHA-00000090', 'seller_id': 'SEL-DAD-STA-00000576'}","{'stock_on_hand': 44, 'threshold': 46.0}"
KEVT-CAT-INVENTORY-LOW-STOCK-20260303-0000000004,inventory_low_stock,catalog_events,1,2026-03-03T00:00:00,2026-03-03T00:00:00,vina_bim_shop.synthetic_source,"{'snapshot_id': 'INV-20260303-00000097', 'product_id': 'PRD-ELHA-00000097', 'seller_id': 'SEL-HCM-NEW-00000282'}","{'stock_on_hand': 45, 'threshold': 46.0}"
KEVT-CAT-INVENTORY-LOW-STOCK-20260303-0000000005,inventory_low_stock,catalog_events,1,2026-03-03T00:00:00,2026-03-03T00:00:00,vina_bim_shop.synthetic_source,"{'snapshot_id': 'INV-20260303-00000104', 'product_id': 'PRD-FASHION-00000104', 'seller_id': 'SEL-DAD-STA-00000267'}","{'stock_on_hand': 46, 'threshold': 46.0}"
KEVT-CAT-INVENTORY-LOW-STOCK-20260303-0000000006,inventory_low_stock,catalog_events,1,2026-03-03T00:00:00,2026-03-03T00:00:00,vina_bim_shop.synthetic_source,"{'snapshot_id': 'INV-20260303-00000105', 'product_id': 'PRD-FASHION-00000105', 'seller_id': 'SEL-CTO-OFF-00000437'}","{'stock_on_hand': 46, 'threshold': 46.0}"
KEVT-CAT-INVENTORY-LOW-STOCK-20260303-0000000007,inventory_low_stock,catalog_events,1,2026-03-03T00:00:00,2026-03-03T00:00:00,vina_bim_shop.synthetic_source,"{'snapshot_id': 'INV-20260303-00000106', 'product_id': 'PRD-HOME-LIVING-00000106', 'seller_id': 'SEL-HPH-STA-00000453'}","{'stock_on_hand': 37, 'threshold': 46.0}"
KEVT-CAT-INVENTORY-LOW-STOCK-20260303-0000000008,inventory_low_stock,catalog_events,1,2026-03-03T00:00:00,2026-03-03T00:00:00,vina_bim_shop.synthetic_source,"{'snapshot_id': 'INV-20260303-00000107', 'product_id': 'PRD-FASHION-00000107', 'seller_id': 'SEL-HCM-STA-00000519'}","{'stock_on_hand': 46, 'threshold': 46.0}"
KEVT-CAT-INVENTORY-LOW-STOCK-20260303-0000000009,inventory_low_stock,catalog_events,1,2026-03-03T00:00:00,2026-03-03T00:00:00,vina_bim_shop.synthetic_source,"{'snapshot_id': 'INV-20260303-00000125', 'product_id': 'PRD-ELHA-00000125', 'seller_id': 'SEL-HAN-OFF-00000014'}","{'stock_on_hand': 46, 'threshold': 46.0}"
