event_id,event_type,event_topic,schema_version,event_timestamp,created_ts,producer,correlation_ids,payload
KEVT-FUL-SHIPMENT-CREATED-20260304-0000007473,shipment_created,fulfillment_events,1,2026-03-04T00:11:11,2026-03-04T00:11:11,vina_bim_shop.synthetic_source,"{'shipment_id': 'SHP-HO-20260304-00007473', 'order_id': 'ORD-HCM-20260304-00007473', 'customer_id': 'CUS-HCM-00005333'}","{'shipping_city': 'Ho Chi Minh City', 'shipping_method': 'express'}"
KEVT-FUL-SHIPMENT-CREATED-20260304-0000014580,shipment_created,fulfillment_events,1,2026-03-04T00:11:31,2026-03-04T00:11:31,vina_bim_shop.synthetic_source,"{'shipment_id': 'SHP-CAN-20260304-00014580', 'order_id': 'ORD-CTO-20260304-00014580', 'customer_id': 'CUS-CTO-00001498'}","{'shipping_city': 'Can Tho', 'shipping_method': 'standard'}"
KEVT-FUL-SHIPMENT-CREATED-20260304-0000026834,shipment_created,fulfillment_events,1,2026-03-04T00:13:00,2026-03-04T00:13:00,vina_bim_shop.synthetic_source,"{'shipment_id': 'SHP-BIN-20260304-00026834', 'order_id': 'ORD-BDG-20260304-00026834', 'customer_id': 'CUS-BDG-00004389'}","{'shipping_city': 'Binh Duong', 'shipping_method': 'standard'}"
KEVT-FUL-SHIPMENT-BLOCKED-PAYMENT-20260304-0000000683,shipment_blocked_payment_failed,fulfillment_events,1,2026-03-04T00:17:11,2026-03-04T00:17:11,vina_bim_shop.synthetic_source,"{'shipment_id': 'SHP-DON-20260304-00021669', 'order_id': 'ORD-DNA-20260304-00021669', 'customer_id': 'CUS-DNA-00010032'}","{'block_reason': 'payment_failed', 'shipment_status': 'blocked_payment_failed'}"
KEVT-FUL-SHIPMENT-CREATED-20260304-0000021669,shipment_created,fulfillment_events,1,2026-03-04T00:17:11,2026-03-04T00:17:11,vina_bim_shop.synthetic_source,"{'shipment_id': 'SHP-DON-20260304-00021669', 'order_id': 'ORD-DNA-20260304-00021669', 'customer_id': 'CUS-DNA-00010032'}","{'shipping_city': 'Dong Nai', 'shipping_method': 'express'}"
KEVT-FUL-SHIPMENT-BLOCKED-PAYMENT-20260304-0000000937,shipment_blocked_payment_failed,fulfillment_events,1,2026-03-04T00:18:51,2026-03-04T00:18:51,vina_bim_shop.synthetic_source,"{'shipment_id': 'SHP-HA-20260304-00029696', 'order_id': 'ORD-HAN-20260304-00029696', 'customer_id': 'CUS-HAN-00004153'}","{'block_reason': 'payment_failed', 'shipment_status': 'blocked_payment_failed'}"
KEVT-FUL-SHIPMENT-CREATED-20260304-0000029696,shipment_created,fulfillment_events,1,2026-03-04T00:18:51,2026-03-04T00:18:51,vina_bim_shop.synthetic_source,"{'shipment_id': 'SHP-HA-20260304-00029696', 'order_id': 'ORD-HAN-20260304-00029696', 'customer_id': 'CUS-HAN-00004153'}","{'shipping_city': 'Ha Noi', 'shipping_method': 'standard'}"
KEVT-FUL-SHIPMENT-CREATED-20260304-0000021196,shipment_created,fulfillment_events,1,2026-03-04T00:23:57,2026-03-04T00:23:57,vina_bim_shop.synthetic_source,"{'shipment_id': 'SHP-DA-20260304-00021196', 'order_id': 'ORD-DAD-20260304-00021196', 'customer_id': 'CUS-DAD-00006749'}","{'shipping_city': 'Da Nang', 'shipping_method': 'express'}"
KEVT-FUL-SHIPMENT-CREATED-20260304-0000030310,shipment_created,fulfillment_events,1,2026-03-04T00:32:17,2026-03-04T00:32:17,vina_bim_shop.synthetic_source,"{'shipment_id': 'SHP-BIN-20260304-00030310', 'order_id': 'ORD-BDG-20260304-00030310', 'customer_id': 'CUS-BDG-00010176'}","{'shipping_city': 'Binh Duong', 'shipping_method': 'standard'}"
KEVT-FUL-SHIPMENT-CREATED-20260304-0000009915,shipment_created,fulfillment_events,1,2026-03-04T00:33:14,2026-03-04T00:33:14,vina_bim_shop.synthetic_source,"{'shipment_id': 'SHP-HUE-20260304-00009915', 'order_id': 'ORD-HUI-20260304-00009915', 'customer_id': 'CUS-HUI-00003493'}","{'shipping_city': 'Hue', 'shipping_method': 'standard'}"
KEVT-FUL-SHIPMENT-CREATED-20260304-0000008106,shipment_created,fulfillment_events,1,2026-03-04T00:37:19,2026-03-04T00:37:19,vina_bim_shop.synthetic_source,"{'shipment_id': 'SHP-DA-20260304-00008106', 'order_id': 'ORD-DAD-20260304-00008106', 'customer_id': 'CUS-DAD-00006924'}","{'shipping_city': 'Da Nang', 'shipping_method': 'express'}"
