order_item_id,order_id,product_id,seller_id,primary_category,primary_subcategory,quantity,unit_price,gross_amount,discount_amount,net_amount,promotion_id,created_ts
ITM-0000000001,ORD-BDG-20260412-00000001,PRD-FASHION-00004531,SEL-HCM-OFF-00000357,Fashion,Men's Fashion,2,375000.0,750000.0,0.0,750000.0,,2026-04-12 13:09:57
ITM-0000000002,ORD-BDG-20260412-00000001,PRD-FASHION-00001182,SEL-HCM-NEW-00000206,Fashion,Bags & Luggage,1,460000.0,460000.0,0.0,460000.0,,2026-04-12 13:09:57
ITM-0000000003,ORD-BDG-20260412-00000001,PRD-FASHION-00002412,SEL-HAN-NEW-00000488,Fashion,Men's Fashion,1,57000.0,57000.0,0.0,57000.0,,2026-04-12 13:09:57
ITM-0000000004,ORD-BDG-20260412-00000001,PRD-FASHION-00002352,SEL-HAN-STA-00000044,Fashion,Fashion Accessories,2,202000.0,404000.0,0.0,404000.0,,2026-04-12 13:09:57
ITM-0000000005,ORD-HCM-20260406-00000002,PRD-ELHA-00004882,SEL-HUI-STA-00000493,ELHA,Smart Devices & Cameras,1,2958000.0,2958000.0,0.0,2958000.0,,2026-04-06 15:57:02
ITM-0000000006,ORD-HCM-20260406-00000002,PRD-ELHA-00004293,SEL-OVN-PRE-00000249,ELHA,Smart Devices & Cameras,2,5641000.0,11282000.0,0.0,11282000.0,,2026-04-06 15:57:02
ITM-0000000007,ORD-NTR-20260309-00000003,PRD-FMCG-00004374,SEL-OVN-STA-00000250,FMCG,Pet Care,2,191000.0,382000.0,0.0,382000.0,,2026-03-09 18:41:02
ITM-0000000008,ORD-NTR-20260309-00000003,PRD-FMCG-00002251,SEL-HAN-STA-00000126,FMCG,Groceries,1,46000.0,46000.0,0.0,46000.0,,2026-03-09 18:41:02
ITM-0000000009,ORD-NTR-20260309-00000003,PRD-FMCG-00002928,SEL-HAN-STA-00000270,FMCG,Groceries,3,103000.0,309000.0,0.0,309000.0,,2026-03-09 18:41:02
ITM-0000000010,ORD-NTR-20260309-00000003,PRD-FMCG-00000205,SEL-DNA-NEW-00000585,FMCG,Mom & Baby,3,82000.0,246000.0,0.0,246000.0,,2026-03-09 18:41:02
ITM-0000000011,ORD-NTR-20260309-00000003,PRD-FMCG-00004246,SEL-HCM-STA-00000291,FMCG,Household Goods,4,21000.0,84000.0,0.0,84000.0,,2026-03-09 18:41:02
ITM-0000000012,ORD-HPH-20260308-00000004,PRD-FMCG-00005521,SEL-HCM-STA-00000194,FMCG,Mom & Baby,2,57000.0,114000.0,0.0,114000.0,,2026-03-08 07:59:07
ITM-0000000013,ORD-HPH-20260308-00000004,PRD-FMCG-00005666,SEL-HCM-PRE-00000195,FMCG,Pet Care,2,57000.0,114000.0,0.0,114000.0,,2026-03-08 07:59:07
ITM-0000000014,ORD-HPH-20260308-00000004,PRD-FMCG-00002593,SEL-HAN-STA-00000270,FMCG,Health & Beauty,2,54000.0,108000.0,0.0,108000.0,,2026-03-08 07:59:07
ITM-0000000015,ORD-HPH-20260308-00000004,PRD-FMCG-00003293,SEL-HCM-PRE-00000315,FMCG,Pet Care,2,75000.0,150000.0,0.0,150000.0,,2026-03-08 07:59:07
ITM-0000000016,ORD-HPH-20260308-00000004,PRD-FMCG-00003987,SEL-BDG-PRE-00000335,FMCG,Groceries,4,145000.0,580000.0,0.0,580000.0,,2026-03-08 07:59:07
ITM-0000000017,ORD-HPH-20260308-00000004,PRD-FMCG-00000180,SEL-DAD-NEW-00000548,FMCG,Household Goods,2,15000.0,30000.0,0.0,30000.0,,2026-03-08 07:59:07
ITM-0000000018,ORD-HAN-20260409-00000005,PRD-FMCG-00002508,SEL-HPH-NEW-00000215,FMCG,Health & Beauty,2,123000.0,246000.0,33210.0,212790.0,PRM-FMCG-00000029,2026-04-09 12:38:35
ITM-0000000019,ORD-HAN-20260409-00000005,PRD-FMCG-00002261,SEL-HAN-STA-00000422,FMCG,Pet Care,2,59000.0,118000.0,15930.0,102070.0,PRM-FMCG-00000029,2026-04-09 12:38:35
ITM-0000000020,ORD-HAN-20260409-00000005,PRD-FMCG-00005330,SEL-HAN-STA-00000279,FMCG,Groceries,3,128000.0,384000.0,51840.0,332160.0,PRM-FMCG-00000029,2026-04-09 12:38:35
