order_id,customer_id,session_id,anonymous_id,order_timestamp,created_ts,order_date,primary_category,status,shipping_city,shipping_region,shipping_method,fulfillment_channel,promotion_id,coupon_code,item_count,order_gross_amount,order_discount_amount,order_net_amount
ORD-BDG-20260412-00000001,CUS-BDG-00011235,SES-BDG-20260412-00000001,ANON-00011235,2026-04-12 13:08:57,2026-04-12 13:09:57,2026-04-12,Fashion,paid,Binh Duong,Southeast,standard,seller_fulfilled,,,4,1671000.0,0.0,1671000.0
ORD-HCM-20260406-00000002,CUS-HCM-00006005,SES-HCM-20260406-00000002,ANON-00006005,2026-04-06 15:53:32,2026-04-06 15:57:02,2026-04-06,ELHA,paid,Ho Chi Minh City,Southeast,pickup_point,seller_fulfilled,,,2,14240000.0,0.0,14240000.0
ORD-NTR-20260309-00000003,CUS-NTR-00000949,SES-NTR-20260309-00000003,ANON-00000949,2026-03-09 18:40:43,2026-03-09 18:41:02,2026-03-09,FMCG,paid,Nha Trang,Central Coast,standard,,,,5,1067000.0,0.0,1067000.0
ORD-HPH-20260308-00000004,CUS-HPH-00004808,SES-HPH-20260308-00000004,ANON-00004808,2026-03-08 07:56:36,2026-03-08 07:59:07,2026-03-08,FMCG,paid,Hai Phong,Red River Delta,,,,,6,1096000.0,0.0,1096000.0
ORD-HAN-20260409-00000005,CUS-HAN-00006878,SES-HAN-20260409-00000005,ANON-00006878,2026-04-09 12:36:20,2026-04-09 12:38:35,2026-04-09,FMCG,paid,Ha Noi,Red River Delta,standard,seller_fulfilled,PRM-FMCG-00000029,VBS-00000029,7,2700000.0,364500.0,2335500.0
ORD-DNA-20260401-00000006,CUS-DNA-00008356,SES-DNA-20260401-00000006,ANON-00008356,2026-04-01 18:57:22,2026-04-01 19:00:23,2026-04-01,ELHA,paid,Dong Nai,Southeast,express,seller_fulfilled,,,2,16903000.0,0.0,16903000.0
ORD-HPH-20260408-00000007,CUS-HPH-00007154,SES-HPH-20260408-00000007,ANON-00007154,2026-04-08 16:40:10,2026-04-08 16:41:45,2026-04-08,ELHA,paid,Hai Phong,Red River Delta,standard,cross_dock,,,1,3212000.0,0.0,3212000.0
ORD-DNA-20260501-00000008,CUS-DNA-00002666,SES-DNA-20260501-00000008,ANON-00002666,2026-05-01 19:42:56,2026-05-01 19:45:26,2026-05-01,Fashion,paid,Dong Nai,Southeast,standard,platform_fulfilled,,,3,1851000.0,0.0,1851000.0
ORD-HUI-20260428-00000009,CUS-HUI-00001945,SES-HUI-20260428-00000009,ANON-00001945,2026-04-28 13:58:02,2026-04-28 13:58:14,2026-04-28,FMCG,paid,Hue,Central Coast,pickup_point,seller_fulfilled,PRM-FMCG-00000001,VBS-00000001,5,1527000.0,241266.0,1285734.0
ORD-HCM-20260425-00000010,CUS-HCM-00004562,SES-HCM-20260425-00000010,ANON-00004562,2026-04-25 17:24:57,2026-04-25 17:26:27,2026-04-25,FMCG,paid,Ho Chi Minh City,Southeast,same_day,platform_fulfilled,,,5,510000.0,0.0,510000.0
ORD-OVN-20260405-00000011,CUS-OVN-00006687,SES-OVN-20260405-00000011,ANON-00006687,2026-04-05 18:51:55,2026-04-05 18:52:10,2026-04-05,FMCG,payment_failed,Other VN,Other,standard,seller_fulfilled,PRM-FMCG-00000029,VBS-00000029,5,420000.0,56700.0,363300.0
ORD-HAN-20260411-00000012,CUS-HAN-00006078,SES-HAN-20260411-00000012,ANON-00006078,2026-04-11 09:16:02,2026-04-11 09:19:39,2026-04-11,FMCG,paid,Ha Noi,Red River Delta,standard,seller_fulfilled,,,4,640000.0,0.0,640000.0
ORD-DAD-20260307-00000013,CUS-DAD-00000145,SES-DAD-20260307-00000013,ANON-00000145,2026-03-07 22:14:08,2026-03-07 22:17:02,2026-03-07,FMCG,paid,Da Nang,Central Coast,standard,,PRM-FMCG-00000020,VBS-00000020,3,1323000.0,269892.0,1053108.0
ORD-CTO-20260310-00000014,CUS-CTO-00001121,SES-CTO-20260310-00000014,ANON-00001121,2026-03-10 09:11:55,2026-03-10 09:13:45,2026-03-10,FMCG,paid,Can Tho,Mekong Delta,standard,,,,5,1581000.0,0.0,1581000.0
ORD-OVN-20260422-00000015,CUS-OVN-00003882,SES-OVN-20260422-00000015,ANON-00003882,2026-04-22 12:58:43,2026-04-22 13:01:29,2026-04-22,FMCG,paid,Other VN,Other,standard,platform_fulfilled,PRM-FMCG-00000001,VBS-00000001,4,793000.0,125294.0,667706.0
ORD-HAN-20260315-00000016,CUS-HAN-00002680,SES-HAN-20260315-00000016,ANON-00002680,2026-03-15 09:01:33,2026-03-15 09:04:36,2026-03-15,ELHA,paid,Ha Noi,Red River Delta,standard,,PRM-ELHA-00000054,VBS-00000054,3,19239000.0,4540404.0,14698596.0
ORD-HCM-20260410-00000017,CUS-HCM-00001532,SES-HCM-20260410-00000017,ANON-00001532,2026-04-10 06:56:21,2026-04-10 06:58:21,2026-04-10,Fashion,payment_failed,Ho Chi Minh City,Southeast,standard,seller_fulfilled,PRM-FASHION-00000042,VBS-00000042,2,1062000.0,114696.0,947304.0
ORD-HCM-20260414-00000018,CUS-HCM-00010591,SES-HCM-20260414-00000018,ANON-00010591,2026-04-14 20:56:43,2026-04-14 20:59:33,2026-04-14,ELHA,paid,Ho Chi Minh City,Southeast,standard,platform_fulfilled,PRM-ELHA-00000050,VBS-00000050,3,10808000.0,1015952.0,9792048.0
ORD-HAN-20260316-00000019,CUS-HAN-00011556,SES-HAN-20260316-00000019,ANON-00011556,2026-03-16 20:09:31,2026-03-16 20:11:24,2026-03-16,Home & Living,payment_failed,Ha Noi,Red River Delta,express,,PRM-HOME-LIVING-00000072,VBS-00000072,4,7860000.0,589500.0,7270500.0
ORD-HAN-20260326-00000020,CUS-HAN-00004793,SES-HAN-20260326-00000020,ANON-00004793,2026-03-26 16:03:21,2026-03-26 16:05:31,2026-03-26,ELHA,paid,Ha Noi,Red River Delta,standard,,PRM-ELHA-00000033,VBS-00000033,2,15180000.0,3445860.0,11734140.0
