payment_id,order_id,customer_id,payment_timestamp,created_ts,payment_method,amount,payment_status,failure_reason
PAY-BIN-20260412-00000001,ORD-BDG-20260412-00000001,CUS-BDG-00011235,2026-04-12 13:34:57,2026-04-12 13:36:35,domestic_card,1671000.0,success,
PAY-HO-20260406-00000002,ORD-HCM-20260406-00000002,CUS-HCM-00006005,2026-04-06 15:58:32,2026-04-06 16:00:50,e_wallet,14240000.0,success,
PAY-NHA-20260309-00000003,ORD-NTR-20260309-00000003,CUS-NTR-00000949,2026-03-09 19:00:43,2026-03-09 19:02:47,domestic_card,1067000.0,success,
PAY-HAI-20260308-00000004,ORD-HPH-20260308-00000004,CUS-HPH-00004808,2026-03-08 08:09:36,2026-03-08 08:11:44,cod,1096000.0,success,
PAY-HA-20260409-00000005,ORD-HAN-20260409-00000005,CUS-HAN-00006878,2026-04-09 13:04:20,2026-04-09 13:07:15,domestic_card,2335500.0,success,
PAY-DON-20260401-00000006,ORD-DNA-20260401-00000006,CUS-DNA-00008356,2026-04-01 19:13:22,2026-04-01 19:15:20,domestic_card,16903000.0,success,
PAY-HAI-20260408-00000007,ORD-HPH-20260408-00000007,CUS-HPH-00007154,2026-04-08 16:43:10,2026-04-08 16:44:23,e_wallet,3212000.0,success,
PAY-DON-20260501-00000008,ORD-DNA-20260501-00000008,CUS-DNA-00002666,2026-05-01 20:11:56,2026-05-01 20:13:21,cod,1851000.0,success,
PAY-HUE-20260428-00000009,ORD-HUI-20260428-00000009,CUS-HUI-00001945,2026-04-28 14:04:02,2026-04-28 14:06:58,bank_transfer,1285734.0,success,
PAY-HO-20260425-00000010,ORD-HCM-20260425-00000010,CUS-HCM-00004562,2026-04-25 17:52:57,2026-04-25 17:54:13,domestic_card,510000.0,success,
PAY-OTH-20260405-00000011,ORD-OVN-20260405-00000011,CUS-OVN-00006687,2026-04-05 19:02:55,2026-04-05 19:03:06,installment,363300.0,failed,insufficient_funds
PAY-HA-20260411-00000012,ORD-HAN-20260411-00000012,CUS-HAN-00006078,2026-04-11 09:17:02,2026-04-11 09:19:35,domestic_card,640000.0,success,
PAY-DA-20260307-00000013,ORD-DAD-20260307-00000013,CUS-DAD-00000145,2026-03-07 22:30:08,2026-03-07 22:30:33,e_wallet,1053108.0,success,
PAY-CAN-20260310-00000014,ORD-CTO-20260310-00000014,CUS-CTO-00001121,2026-03-10 09:40:55,2026-03-10 09:42:09,installment,1581000.0,success,
PAY-OTH-20260422-00000015,ORD-OVN-20260422-00000015,CUS-OVN-00003882,2026-04-22 13:12:43,2026-04-22 13:13:04,e_wallet,667706.0,success,
PAY-HA-20260315-00000016,ORD-HAN-20260315-00000016,CUS-HAN-00002680,2026-03-15 09:15:33,2026-03-15 09:17:48,e_wallet,14698596.0,success,
PAY-HO-20260410-00000017,ORD-HCM-20260410-00000017,CUS-HCM-00001532,2026-04-10 06:57:21,2026-04-10 06:59:53,domestic_card,947304.0,failed,insufficient_funds
PAY-HO-20260414-00000018,ORD-HCM-20260414-00000018,CUS-HCM-00010591,2026-04-14 20:57:43,2026-04-14 21:00:31,e_wallet,9792048.0,success,
PAY-HA-20260316-00000019,ORD-HAN-20260316-00000019,CUS-HAN-00011556,2026-03-16 20:33:31,2026-03-16 20:34:59,cod,7270500.0,failed,provider_timeout
PAY-HA-20260326-00000020,ORD-HAN-20260326-00000020,CUS-HAN-00004793,2026-03-26 16:23:21,2026-03-26 16:24:30,e_wallet,11734140.0,success,
