product_id,category,subcategory,is_primary,assigned_ts
PRD-FMCG-00000001,FMCG,Household Goods,True,2026-03-03 23:59:00
PRD-HOME-LIVING-00000002,Home & Living,Furniture,True,2026-03-03 23:59:00
PRD-FMCG-00000003,FMCG,Mom & Baby,True,2026-03-03 23:59:00
PRD-FMCG-00000004,FMCG,Household Goods,True,2026-03-03 23:59:00
PRD-FASHION-00000005,Fashion,Footwear,True,2026-03-03 23:59:00
PRD-FASHION-00000005,Fashion,Women's Fashion,False,2026-03-12 23:59:00
PRD-ELHA-00000006,ELHA,Home Appliances,True,2026-03-03 23:59:00
PRD-FMCG-00000007,FMCG,Mom & Baby,True,2026-03-03 23:59:00
PRD-FASHION-00000008,Fashion,Women's Fashion,True,2026-03-03 23:59:00
PRD-FASHION-00000008,Fashion,Bags & Luggage,False,2026-04-15 23:59:00
PRD-FMCG-00000009,FMCG,Pet Care,True,2026-03-03 23:59:00
PRD-ELHA-00000010,ELHA,TVs & Audio,True,2026-03-03 23:59:00
PRD-HOME-LIVING-00000011,Home & Living,Kitchen & Dining,True,2026-03-03 23:59:00
PRD-HOME-LIVING-00000011,Home & Living,Storage & Organization,False,2026-04-14 23:59:00
PRD-FMCG-00000012,FMCG,Household Goods,True,2026-03-03 23:59:00
PRD-FASHION-00000013,Fashion,Men's Fashion,True,2026-03-03 23:59:00
PRD-FASHION-00000013,Fashion,Footwear,False,2026-04-25 23:59:00
PRD-ELHA-00000014,ELHA,Computers & Accessories,True,2026-03-03 23:59:00
PRD-HOME-LIVING-00000015,Home & Living,Kitchen & Dining,True,2026-03-03 23:59:00
PRD-FASHION-00000016,Fashion,Fashion Accessories,True,2026-03-03 23:59:00
