promotion_id,promotion_name,funding_type,funding_detail,seller_id,category,discount_rate,promotion_start_ts,promotion_end_ts,created_ts
PRM-FMCG-00000001,Platform FMCG Campaign,platform,"{""platform_share"": 1.0, ""seller_share"": 0.0}",,FMCG,0.158,2026-04-19 03:24:00,2026-05-02 03:24:00,2026-04-16 03:24:00
PRM-HOME-LIVING-00000002,Mixed Home & Living Campaign,mixed,,SEL-NTR-PRE-00000242,Home & Living,0.045,2026-03-10 11:53:54,2026-03-13 11:53:54,2026-03-06 11:53:54
PRM-FASHION-00000003,Mixed Fashion Campaign,mixed,,SEL-HPH-STA-00000217,Fashion,0.051,2026-03-15 23:02:21,2026-03-23 23:02:21,2026-03-09 23:02:21
PRM-ELHA-00000004,Platform ELHA Campaign,platform,"{""platform_share"": 1.0, ""seller_share"": 0.0}",,ELHA,0.066,2026-04-21 02:55:14,2026-04-23 02:55:14,2026-04-18 02:55:14
PRM-FASHION-00000005,Platform Fashion Campaign,platform,"{""platform_share"": 1.0, ""seller_share"": 0.0}",,Fashion,0.14,2026-04-12 22:40:52,2026-04-14 22:40:52,2026-04-07 22:40:52
PRM-FMCG-00000006,Seller FMCG Campaign,seller,,SEL-DAD-OFF-00000449,FMCG,0.061,2026-03-23 17:26:06,2026-03-30 17:26:06,2026-03-18 17:26:06
PRM-ELHA-00000007,Platform ELHA Campaign,platform,,,ELHA,0.255,2026-03-30 11:22:34,2026-04-09 11:22:34,2026-03-26 11:22:34
PRM-FMCG-00000008,Platform FMCG Campaign,platform,,,FMCG,0.254,2026-03-04 21:28:14,2026-03-15 21:28:14,2026-02-26 21:28:14
PRM-ELHA-00000009,Platform ELHA Campaign,platform,,,ELHA,0.213,2026-03-22 05:50:13,2026-04-02 05:50:13,2026-03-18 05:50:13
PRM-FMCG-00000010,Mixed FMCG Campaign,mixed,,SEL-HCM-PRE-00000516,FMCG,0.228,2026-03-23 21:45:16,2026-04-05 21:45:16,2026-03-18 21:45:16
PRM-FMCG-00000011,Mixed FMCG Campaign,mixed,,SEL-HAN-PRE-00000489,FMCG,0.264,2026-03-18 20:21:58,2026-03-20 20:21:58,2026-03-12 20:21:58
PRM-ELHA-00000012,Seller ELHA Campaign,seller,"{""platform_share"": 0.0, ""seller_share"": 1.0}",SEL-OVN-PRE-00000180,ELHA,0.222,2026-04-08 10:12:52,2026-04-11 10:12:52,2026-04-05 10:12:52
PRM-FMCG-00000013,Platform FMCG Campaign,platform,,,FMCG,0.151,2026-03-22 00:27:21,2026-03-28 00:27:21,2026-03-16 00:27:21
PRM-FASHION-00000014,Seller Fashion Campaign,seller,,SEL-HCM-PRE-00000598,Fashion,0.16,2026-03-12 19:22:29,2026-03-19 19:22:29,2026-03-06 19:22:29
PRM-FMCG-00000015,Mixed FMCG Campaign,mixed,"{""platform_share"": 0.5, ""seller_share"": 0.5}",SEL-HCM-PRE-00000289,FMCG,0.188,2026-04-06 10:20:08,2026-04-09 10:20:08,2026-03-31 10:20:08
PRM-ELHA-00000016,Mixed ELHA Campaign,mixed,,SEL-HAN-PRE-00000435,ELHA,0.259,2026-03-25 18:36:42,2026-04-04 18:36:42,2026-03-22 18:36:42
PRM-ELHA-00000017,Platform ELHA Campaign,platform,,,ELHA,0.055,2026-03-19 21:38:28,2026-03-29 21:38:28,2026-03-16 21:38:28
PRM-FMCG-00000018,Platform FMCG Campaign,platform,,,FMCG,0.172,2026-03-13 13:20:23,2026-03-18 13:20:23,2026-03-08 13:20:23
PRM-ELHA-00000019,Platform ELHA Campaign,platform,,,ELHA,0.22,2026-03-18 01:18:56,2026-03-24 01:18:56,2026-03-16 01:18:56
PRM-FMCG-00000020,Mixed FMCG Campaign,mixed,,SEL-BDG-NEW-00000057,FMCG,0.204,2026-03-05 19:49:02,2026-03-09 19:49:02,2026-02-27 19:49:02
