model_name,schema,materialized,status,execution_time_seconds
raw_bad_events,bronze,view,success,0.145
raw_bad_snapshots,bronze,view,success,0.075
raw_customers,bronze,view,success,0.116
raw_inventory_snapshots,bronze,view,success,0.084
raw_kafka_catalog_events,bronze,view,success,0.266
raw_kafka_commerce_events,bronze,view,success,0.375
raw_kafka_fulfillment_events,bronze,view,success,0.308
raw_kafka_ops_events,bronze,view,success,0.083
raw_order_items,bronze,view,success,0.099
raw_orders,bronze,view,success,0.088
raw_payments,bronze,view,success,0.154
raw_product_category_map,bronze,view,success,0.098
raw_products,bronze,view,success,0.089
raw_promotions,bronze,view,success,0.081
raw_sellers,bronze,view,success,0.118
raw_shipments,bronze,view,success,0.079
agg_feature_health_daily,gold,table,success,0.337
agg_hourly_reconciled_kpi,gold,table,success,4.485
bridge_product_category,gold,table,success,0.166
dim_category,gold,table,success,0.115
dim_customer,gold,table,success,0.328
dim_date,gold,table,success,0.199
dim_order_status,gold,table,success,0.078
dim_payment_method,gold,table,success,0.084
dim_product,gold,table,success,0.093
dim_promotion,gold,table,success,0.238
dim_seller,gold,table,success,0.101
dim_shipment_status,gold,table,success,0.083
dim_shipping_method,gold,table,success,0.076
fact_inventory_snapshot,gold,table,success,1.731
fact_order,gold,table,success,1.349
fact_order_item,gold,table,success,3.792
fact_payment_attempt,gold,table,success,0.814
fact_promotion_application,gold,table,success,1.058
fact_shipment,gold,table,success,0.939
feat_customer_90d,gold,table,success,0.204
feat_customer_unified,gold,table,success,0.137
feat_stream_60m,gold,table,success,3.661
feature_drift_alerts,gold,table,success,0.037
ml_customer_label,gold,table,success,0.111
ml_customer_purchase_training,gold,table,success,0.227
obt_order_performance,gold,table,success,0.786
stg_catalog_events,silver,view,success,0.284
stg_commerce_events,silver,view,success,0.352
stg_customers,silver,view,success,0.07
stg_fulfillment_events,silver,view,success,0.329
stg_inventory_snapshots,silver,view,success,0.059
stg_ops_events,silver,view,success,0.077
stg_order_items,silver,view,success,0.065
stg_orders,silver,view,success,0.16
stg_payments,silver,view,success,0.072
stg_product_category_map,silver,view,success,0.225
stg_products,silver,view,success,0.079
stg_promotions,silver,view,success,0.136
stg_sellers,silver,view,success,0.077
stg_shipments,silver,view,success,0.06
