schema,table_name,relation_type,column_name,data_type,ordinal_position
bronze,raw_bad_events,VIEW,dlq_id,VARCHAR,1
bronze,raw_bad_events,VIEW,source_topic,VARCHAR,2
bronze,raw_bad_events,VIEW,raw_payload,VARCHAR,3
bronze,raw_bad_events,VIEW,error_reason,VARCHAR,4
bronze,raw_bad_events,VIEW,event_topic,VARCHAR,5
bronze,raw_bad_events,VIEW,schema_version,BIGINT,6
bronze,raw_bad_events,VIEW,ingest_ts,TIMESTAMP,7
bronze,raw_bad_snapshots,VIEW,bad_record_id,VARCHAR,1
bronze,raw_bad_snapshots,VIEW,source_dataset,VARCHAR,2
bronze,raw_bad_snapshots,VIEW,raw_record,VARCHAR,3
bronze,raw_bad_snapshots,VIEW,error_reason,VARCHAR,4
bronze,raw_bad_snapshots,VIEW,ingest_ts,TIMESTAMP,5
bronze,raw_customers,VIEW,customer_id,VARCHAR,1
bronze,raw_customers,VIEW,anonymous_id,VARCHAR,2
bronze,raw_customers,VIEW,signup_ts,TIMESTAMP,3
bronze,raw_customers,VIEW,created_ts,TIMESTAMP,4
bronze,raw_customers,VIEW,country,VARCHAR,5
bronze,raw_customers,VIEW,region,VARCHAR,6
bronze,raw_customers,VIEW,city,VARCHAR,7
bronze,raw_customers,VIEW,city_code,VARCHAR,8
bronze,raw_customers,VIEW,segment,VARCHAR,9
bronze,raw_customers,VIEW,marketing_opt_in,BOOLEAN,10
bronze,raw_customers,VIEW,preferred_device,VARCHAR,11
bronze,raw_customers,VIEW,acquisition_channel,VARCHAR,12
bronze,raw_customers,VIEW,ingest_ts,TIMESTAMP WITH TIME ZONE,13
bronze,raw_inventory_snapshots,VIEW,snapshot_id,VARCHAR,1
bronze,raw_inventory_snapshots,VIEW,product_id,VARCHAR,2
bronze,raw_inventory_snapshots,VIEW,seller_id,VARCHAR,3
bronze,raw_inventory_snapshots,VIEW,snapshot_ts,TIMESTAMP,4
bronze,raw_inventory_snapshots,VIEW,stock_on_hand,BIGINT,5
bronze,raw_inventory_snapshots,VIEW,reserved_stock,BIGINT,6
bronze,raw_inventory_snapshots,VIEW,ingest_ts,TIMESTAMP WITH TIME ZONE,7
bronze,raw_kafka_catalog_events,VIEW,event_id,VARCHAR,1
bronze,raw_kafka_catalog_events,VIEW,event_type,VARCHAR,2
bronze,raw_kafka_catalog_events,VIEW,event_topic,VARCHAR,3
bronze,raw_kafka_catalog_events,VIEW,schema_version,BIGINT,4
bronze,raw_kafka_catalog_events,VIEW,event_timestamp,TIMESTAMP,5
bronze,raw_kafka_catalog_events,VIEW,created_ts,TIMESTAMP,6
