schema,table_name,relation_type,row_count
bronze,raw_bad_events,VIEW,4
bronze,raw_bad_snapshots,VIEW,4
bronze,raw_customers,VIEW,12000
bronze,raw_inventory_snapshots,VIEW,60000
bronze,raw_kafka_catalog_events,VIEW,69160
bronze,raw_kafka_commerce_events,VIEW,442451
bronze,raw_kafka_fulfillment_events,VIEW,127921
bronze,raw_kafka_ops_events,VIEW,5
bronze,raw_order_items,VIEW,168496
bronze,raw_orders,VIEW,45000
bronze,raw_payments,VIEW,45000
bronze,raw_product_category_map,VIEW,7340
bronze,raw_products,VIEW,6000
bronze,raw_promotions,VIEW,80
bronze,raw_sellers,VIEW,600
bronze,raw_shipments,VIEW,45000
gold,agg_feature_health_daily,BASE TABLE,22
gold,agg_hourly_reconciled_kpi,BASE TABLE,1416
gold,bridge_product_category,BASE TABLE,7340
gold,dim_category,BASE TABLE,20
gold,dim_customer,BASE TABLE,12000
gold,dim_date,BASE TABLE,61
gold,dim_order_status,BASE TABLE,2
gold,dim_payment_method,BASE TABLE,5
gold,dim_product,BASE TABLE,6000
gold,dim_promotion,BASE TABLE,81
gold,dim_seller,BASE TABLE,600
gold,dim_shipment_status,BASE TABLE,4
gold,dim_shipping_method,BASE TABLE,5
gold,fact_inventory_snapshot,BASE TABLE,60000
gold,fact_order,BASE TABLE,45000
gold,fact_order_item,BASE TABLE,165193
gold,fact_payment_attempt,BASE TABLE,45000
gold,fact_promotion_application,BASE TABLE,58401
gold,fact_shipment,BASE TABLE,45000
gold,feat_customer_90d,BASE TABLE,11996
gold,feat_customer_unified,BASE TABLE,11996
gold,feat_stream_60m,BASE TABLE,53
gold,feature_drift_alerts,BASE TABLE,0
gold,ml_customer_label,BASE TABLE,11996
gold,ml_customer_purchase_training,BASE TABLE,11996
gold,obt_order_performance,BASE TABLE,45000
silver,stg_catalog_events,VIEW,69160
silver,stg_commerce_events,VIEW,437811
silver,stg_customers,VIEW,12000
silver,stg_fulfillment_events,VIEW,127921
silver,stg_inventory_snapshots,VIEW,60000
silver,stg_ops_events,VIEW,5
silver,stg_order_items,VIEW,165193
silver,stg_orders,VIEW,45000
silver,stg_payments,VIEW,45000
silver,stg_product_category_map,VIEW,7340
silver,stg_products,VIEW,6000
silver,stg_promotions,VIEW,80
silver,stg_sellers,VIEW,600
silver,stg_shipments,VIEW,45000
