id,label
CUS-BDG-00000004,0
CUS-BDG-00000030,1
CUS-BDG-00000031,1
CUS-BDG-00000043,0
CUS-BDG-00000049,0
CUS-BDG-00000055,1
CUS-BDG-00000087,0
CUS-BDG-00000092,1
CUS-BDG-00000102,0
CUS-BDG-00000106,0
CUS-BDG-00000118,0
CUS-BDG-00000159,0
CUS-BDG-00000180,1
CUS-BDG-00000189,1
CUS-BDG-00000211,0
CUS-BDG-00000215,1
CUS-BDG-00000216,0
CUS-BDG-00000256,0
CUS-BDG-00000275,0
CUS-BDG-00000318,1
CUS-BDG-00000331,1
CUS-BDG-00000333,0
CUS-BDG-00000338,0
CUS-BDG-00000380,1
CUS-BDG-00000387,0
CUS-BDG-00000394,0
CUS-BDG-00000433,1
CUS-BDG-00000439,1
CUS-BDG-00000443,1
CUS-BDG-00000446,1
CUS-BDG-00000453,1
CUS-BDG-00000466,1
CUS-BDG-00000491,0
CUS-BDG-00000501,1
CUS-BDG-00000518,1
CUS-BDG-00000531,0
CUS-BDG-00000532,0
CUS-BDG-00000597,1
CUS-BDG-00000604,0
CUS-BDG-00000609,1
CUS-BDG-00000616,0
CUS-BDG-00000617,1
CUS-BDG-00000638,0
CUS-BDG-00000641,0
CUS-BDG-00000666,1
CUS-BDG-00000674,0
CUS-BDG-00000697,1
CUS-BDG-00000736,0
CUS-BDG-00000755,1
CUS-BDG-00000761,1
CUS-BDG-00000799,1
CUS-BDG-00000800,0
CUS-BDG-00000801,1
CUS-BDG-00000807,0
CUS-BDG-00000835,0
CUS-BDG-00000848,0
CUS-BDG-00000857,1
CUS-BDG-00000861,0
CUS-BDG-00000862,0
CUS-BDG-00000871,0
CUS-BDG-00000875,1
CUS-BDG-00000890,1
CUS-BDG-00000930,0
CUS-BDG-00000947,1
CUS-BDG-00000983,0
CUS-BDG-00001009,0
CUS-BDG-00001022,1
CUS-BDG-00001029,1
CUS-BDG-00001032,0
CUS-BDG-00001060,1
CUS-BDG-00001068,0
CUS-BDG-00001086,0
CUS-BDG-00001128,1
CUS-BDG-00001134,0
CUS-BDG-00001147,0
CUS-BDG-00001172,1
CUS-BDG-00001200,0
CUS-BDG-00001204,0
CUS-BDG-00001299,1
CUS-BDG-00001316,0
CUS-BDG-00001319,0
CUS-BDG-00001359,0
CUS-BDG-00001387,0
CUS-BDG-00001410,0
CUS-BDG-00001421,1
CUS-BDG-00001469,1
CUS-BDG-00001507,0
CUS-BDG-00001510,0
CUS-BDG-00001514,1
CUS-BDG-00001525,1
CUS-BDG-00001534,0
CUS-BDG-00001538,0
CUS-BDG-00001596,1
CUS-BDG-00001626,0
CUS-BDG-00001634,1
CUS-BDG-00001640,0
CUS-BDG-00001677,0
CUS-BDG-00001681,1
CUS-BDG-00001683,1
CUS-BDG-00001694,0
CUS-BDG-00001700,0
CUS-BDG-00001723,0
CUS-BDG-00001733,1
CUS-BDG-00001736,0
CUS-BDG-00001745,1
CUS-BDG-00001747,1
CUS-BDG-00001777,1
CUS-BDG-00001788,0
CUS-BDG-00001794,0
CUS-BDG-00001804,0
CUS-BDG-00001806,1
CUS-BDG-00001813,1
CUS-BDG-00001825,0
CUS-BDG-00001840,1
CUS-BDG-00001884,0
CUS-BDG-00001918,0
CUS-BDG-00001928,0
CUS-BDG-00001935,1
CUS-BDG-00001965,1
CUS-BDG-00001967,1
CUS-BDG-00001973,1
CUS-BDG-00001979,0
CUS-BDG-00001988,0
CUS-BDG-00002010,0
CUS-BDG-00002083,1
CUS-BDG-00002089,1
CUS-BDG-00002101,1
CUS-BDG-00002106,0
CUS-BDG-00002107,0
CUS-BDG-00002193,1
CUS-BDG-00002207,0
CUS-BDG-00002227,1
CUS-BDG-00002235,1
CUS-BDG-00002261,0
CUS-BDG-00002269,0
CUS-BDG-00002284,0
CUS-BDG-00002292,1
CUS-BDG-00002297,0
CUS-BDG-00002300,0
CUS-BDG-00002336,1
CUS-BDG-00002343,1
CUS-BDG-00002345,0
CUS-BDG-00002366,0
CUS-BDG-00002380,0
CUS-BDG-00002389,0
CUS-BDG-00002411,1
CUS-BDG-00002426,0
CUS-BDG-00002428,0
CUS-BDG-00002432,0
CUS-BDG-00002435,0
CUS-BDG-00002452,1
CUS-BDG-00002466,0
CUS-BDG-00002473,0
CUS-BDG-00002502,1
CUS-BDG-00002533,0
CUS-BDG-00002556,1
CUS-BDG-00002563,1
CUS-BDG-00002577,0
CUS-BDG-00002641,0
CUS-BDG-00002647,1
CUS-BDG-00002654,0
CUS-BDG-00002679,0
CUS-BDG-00002686,0
CUS-BDG-00002701,0
CUS-BDG-00002705,1
CUS-BDG-00002726,1
CUS-BDG-00002739,0
CUS-BDG-00002752,0
CUS-BDG-00002758,1
CUS-BDG-00002786,0
CUS-BDG-00002787,0
CUS-BDG-00002793,0
CUS-BDG-00002808,0
CUS-BDG-00002813,0
CUS-BDG-00002826,0
CUS-BDG-00002830,1
CUS-BDG-00002835,1
CUS-BDG-00002859,1
CUS-BDG-00002911,0
CUS-BDG-00002920,1
CUS-BDG-00002927,1
CUS-BDG-00002930,1
CUS-BDG-00002978,0
CUS-BDG-00002979,0
CUS-BDG-00003004,0
CUS-BDG-00003014,1
CUS-BDG-00003016,0
CUS-BDG-00003022,0
CUS-BDG-00003036,0
CUS-BDG-00003045,0
CUS-BDG-00003069,0
CUS-BDG-00003074,0
CUS-BDG-00003113,0
CUS-BDG-00003129,0
CUS-BDG-00003135,1
CUS-BDG-00003147,1
CUS-BDG-00003148,0
CUS-BDG-00003164,0
CUS-BDG-00003166,1
CUS-BDG-00003173,0
CUS-BDG-00003187,0
CUS-BDG-00003194,1
CUS-BDG-00003212,1
CUS-BDG-00003216,0
CUS-BDG-00003224,1
CUS-BDG-00003262,0
CUS-BDG-00003274,0
CUS-BDG-00003275,0
CUS-BDG-00003292,0
CUS-BDG-00003305,0
CUS-BDG-00003317,0
CUS-BDG-00003323,0
CUS-BDG-00003367,0
CUS-BDG-00003386,0
CUS-BDG-00003392,1
CUS-BDG-00003395,0
CUS-BDG-00003399,0
CUS-BDG-00003451,1
CUS-BDG-00003482,1
CUS-BDG-00003485,1
CUS-BDG-00003486,0
CUS-BDG-00003488,0
CUS-BDG-00003497,0
CUS-BDG-00003505,1
CUS-BDG-00003509,0
CUS-BDG-00003512,0
CUS-BDG-00003535,0
CUS-BDG-00003561,0
CUS-BDG-00003579,1
CUS-BDG-00003584,1
CUS-BDG-00003616,0
CUS-BDG-00003681,0
CUS-BDG-00003704,1
CUS-BDG-00003710,0
CUS-BDG-00003717,1
CUS-BDG-00003729,0
CUS-BDG-00003738,0
CUS-BDG-00003746,0
CUS-BDG-00003773,0
CUS-BDG-00003777,0
CUS-BDG-00003790,1
CUS-BDG-00003819,1
CUS-BDG-00003825,1
CUS-BDG-00003837,0
CUS-BDG-00003841,1
CUS-BDG-00003847,1
CUS-BDG-00003848,0
CUS-BDG-00003859,0
CUS-BDG-00003881,1
CUS-BDG-00003883,0
CUS-BDG-00003903,0
CUS-BDG-00003954,1
CUS-BDG-00003963,1
CUS-BDG-00004001,1
CUS-BDG-00004020,1
CUS-BDG-00004050,0
CUS-BDG-00004062,1
CUS-BDG-00004068,0
CUS-BDG-00004083,1
CUS-BDG-00004099,0
CUS-BDG-00004107,0
CUS-BDG-00004108,0
CUS-BDG-00004131,1
CUS-BDG-00004139,0
CUS-BDG-00004148,0
CUS-BDG-00004172,0
CUS-BDG-00004181,0
CUS-BDG-00004183,0
CUS-BDG-00004192,0
CUS-BDG-00004205,0
CUS-BDG-00004211,0
CUS-BDG-00004220,0
CUS-BDG-00004233,0
CUS-BDG-00004245,1
CUS-BDG-00004265,1
CUS-BDG-00004280,0
CUS-BDG-00004300,0
CUS-BDG-00004302,0
CUS-BDG-00004328,1
CUS-BDG-00004345,0
CUS-BDG-00004356,1
CUS-BDG-00004360,0
CUS-BDG-00004365,1
CUS-BDG-00004377,0
CUS-BDG-00004389,0
CUS-BDG-00004402,0
CUS-BDG-00004413,0
CUS-BDG-00004525,1
CUS-BDG-00004527,1
CUS-BDG-00004528,0
CUS-BDG-00004549,1
CUS-BDG-00004552,0
CUS-BDG-00004556,0
CUS-BDG-00004558,1
CUS-BDG-00004560,1
CUS-BDG-00004593,0
CUS-BDG-00004605,0
CUS-BDG-00004638,1
CUS-BDG-00004661,0
CUS-BDG-00004684,0
CUS-BDG-00004690,0
CUS-BDG-00004693,0
CUS-BDG-00004736,0
CUS-BDG-00004737,0
CUS-BDG-00004770,0
CUS-BDG-00004788,0
CUS-BDG-00004790,0
CUS-BDG-00004806,1
CUS-BDG-00004812,0
CUS-BDG-00004821,0
CUS-BDG-00004824,0
CUS-BDG-00004833,0
CUS-BDG-00004834,0
CUS-BDG-00004852,0
CUS-BDG-00004873,1
CUS-BDG-00004878,1
CUS-BDG-00004888,0
CUS-BDG-00004895,1
CUS-BDG-00004905,0
CUS-BDG-00004909,1
CUS-BDG-00004917,1
CUS-BDG-00004929,0
CUS-BDG-00004938,1
CUS-BDG-00004950,0
CUS-BDG-00004952,0
CUS-BDG-00004960,0
CUS-BDG-00004993,1
CUS-BDG-00005009,0
CUS-BDG-00005014,0
CUS-BDG-00005080,1
CUS-BDG-00005097,1
CUS-BDG-00005166,1
CUS-BDG-00005168,0
CUS-BDG-00005171,1
CUS-BDG-00005192,1
CUS-BDG-00005235,0
CUS-BDG-00005278,0
CUS-BDG-00005280,0
CUS-BDG-00005303,1
CUS-BDG-00005332,1
CUS-BDG-00005337,0
CUS-BDG-00005347,1
CUS-BDG-00005348,1
CUS-BDG-00005376,0
CUS-BDG-00005378,0
CUS-BDG-00005382,0
CUS-BDG-00005399,0
CUS-BDG-00005401,0
CUS-BDG-00005406,1
CUS-BDG-00005415,0
CUS-BDG-00005435,0
CUS-BDG-00005444,0
CUS-BDG-00005453,1
CUS-BDG-00005461,0
CUS-BDG-00005464,0
CUS-BDG-00005475,1
CUS-BDG-00005490,1
CUS-BDG-00005581,1
CUS-BDG-00005584,0
CUS-BDG-00005585,0
CUS-BDG-00005610,1
CUS-BDG-00005612,1
CUS-BDG-00005627,1
CUS-BDG-00005638,0
CUS-BDG-00005660,0
CUS-BDG-00005666,0
CUS-BDG-00005695,0
CUS-BDG-00005714,0
CUS-BDG-00005733,1
CUS-BDG-00005741,0
CUS-BDG-00005745,1
CUS-BDG-00005763,0
CUS-BDG-00005770,1
CUS-BDG-00005777,1
CUS-BDG-00005779,1
CUS-BDG-00005786,0
CUS-BDG-00005792,1
CUS-BDG-00005806,1
CUS-BDG-00005807,1
CUS-BDG-00005814,0
CUS-BDG-00005821,0
CUS-BDG-00005823,0
CUS-BDG-00005827,0
CUS-BDG-00005864,1
CUS-BDG-00005868,1
CUS-BDG-00005879,0
CUS-BDG-00005923,0
CUS-BDG-00005941,0
CUS-BDG-00005965,0
CUS-BDG-00005992,1
CUS-BDG-00006012,0
CUS-BDG-00006019,1
CUS-BDG-00006090,1
CUS-BDG-00006123,0
CUS-BDG-00006133,1
CUS-BDG-00006150,0
CUS-BDG-00006152,0
CUS-BDG-00006161,0
CUS-BDG-00006170,1
CUS-BDG-00006177,0
CUS-BDG-00006186,1
CUS-BDG-00006187,0
CUS-BDG-00006212,1
CUS-BDG-00006218,0
CUS-BDG-00006264,1
CUS-BDG-00006276,0
CUS-BDG-00006279,1
CUS-BDG-00006291,1
CUS-BDG-00006305,1
CUS-BDG-00006307,1
CUS-BDG-00006310,0
CUS-BDG-00006315,0
CUS-BDG-00006318,1
CUS-BDG-00006335,0
CUS-BDG-00006340,1
CUS-BDG-00006348,0
CUS-BDG-00006350,1
CUS-BDG-00006370,0
CUS-BDG-00006374,1
CUS-BDG-00006381,0
CUS-BDG-00006406,0
CUS-BDG-00006420,1
CUS-BDG-00006447,1
CUS-BDG-00006449,1
CUS-BDG-00006456,0
CUS-BDG-00006458,1
CUS-BDG-00006460,1
CUS-BDG-00006462,1
CUS-BDG-00006463,0
CUS-BDG-00006468,1
CUS-BDG-00006484,1
CUS-BDG-00006517,0
CUS-BDG-00006533,0
CUS-BDG-00006540,0
CUS-BDG-00006549,0
CUS-BDG-00006566,0
CUS-BDG-00006571,1
CUS-BDG-00006583,1
CUS-BDG-00006592,1
CUS-BDG-00006605,1
CUS-BDG-00006611,1
CUS-BDG-00006630,0
CUS-BDG-00006638,0
CUS-BDG-00006666,0
CUS-BDG-00006675,1
CUS-BDG-00006699,1
CUS-BDG-00006717,1
CUS-BDG-00006750,0
CUS-BDG-00006780,1
CUS-BDG-00006788,1
CUS-BDG-00006793,0
CUS-BDG-00006830,0
CUS-BDG-00006841,0
CUS-BDG-00006843,0
CUS-BDG-00006853,0
CUS-BDG-00006871,1
CUS-BDG-00006903,1
CUS-BDG-00006907,0
CUS-BDG-00006911,0
CUS-BDG-00006914,0
CUS-BDG-00006915,0
CUS-BDG-00006932,0
CUS-BDG-00006934,1
CUS-BDG-00006936,0
CUS-BDG-00006941,1
CUS-BDG-00006947,0
CUS-BDG-00006948,0
CUS-BDG-00006949,0
CUS-BDG-00006955,0
CUS-BDG-00006980,1
CUS-BDG-00006997,1
CUS-BDG-00007000,1
CUS-BDG-00007001,1
CUS-BDG-00007014,0
CUS-BDG-00007038,0
CUS-BDG-00007067,0
CUS-BDG-00007070,0
CUS-BDG-00007087,1
CUS-BDG-00007118,1
CUS-BDG-00007139,0
CUS-BDG-00007142,0
CUS-BDG-00007146,0
CUS-BDG-00007149,1
CUS-BDG-00007152,0
CUS-BDG-00007156,0
CUS-BDG-00007167,0
CUS-BDG-00007173,1
CUS-BDG-00007183,0
CUS-BDG-00007199,0
CUS-BDG-00007200,0
CUS-BDG-00007217,0
CUS-BDG-00007218,0
CUS-BDG-00007243,0
CUS-BDG-00007259,1
CUS-BDG-00007275,0
CUS-BDG-00007280,0
CUS-BDG-00007281,1
CUS-BDG-00007297,0
CUS-BDG-00007325,1
CUS-BDG-00007357,1
CUS-BDG-00007394,1
CUS-BDG-00007412,0
CUS-BDG-00007425,1
CUS-BDG-00007433,0
CUS-BDG-00007443,1
CUS-BDG-00007457,1
CUS-BDG-00007496,1
CUS-BDG-00007502,0
CUS-BDG-00007506,1
CUS-BDG-00007514,0
CUS-BDG-00007515,0
CUS-BDG-00007555,0
CUS-BDG-00007598,1
CUS-BDG-00007612,1
CUS-BDG-00007618,0
CUS-BDG-00007619,0
CUS-BDG-00007622,1
CUS-BDG-00007632,0
CUS-BDG-00007644,1
CUS-BDG-00007645,0
CUS-BDG-00007650,0
CUS-BDG-00007737,0
CUS-BDG-00007767,0
CUS-BDG-00007770,1
CUS-BDG-00007775,0
CUS-BDG-00007780,0
CUS-BDG-00007787,0
CUS-BDG-00007791,1
CUS-BDG-00007796,1
CUS-BDG-00007806,0
CUS-BDG-00007813,1
CUS-BDG-00007832,1
CUS-BDG-00007834,0
CUS-BDG-00007838,0
CUS-BDG-00007839,0
CUS-BDG-00007850,1
CUS-BDG-00007860,1
CUS-BDG-00007865,0
CUS-BDG-00007870,1
CUS-BDG-00007884,0
CUS-BDG-00007889,0
CUS-BDG-00007930,0
CUS-BDG-00007943,1
CUS-BDG-00007963,0
CUS-BDG-00007964,0
CUS-BDG-00008006,0
CUS-BDG-00008012,1
CUS-BDG-00008018,1
CUS-BDG-00008028,0
CUS-BDG-00008047,1
CUS-BDG-00008050,1
CUS-BDG-00008054,1
CUS-BDG-00008059,0
CUS-BDG-00008103,1
CUS-BDG-00008104,0
CUS-BDG-00008105,0
CUS-BDG-00008114,1
CUS-BDG-00008120,0
CUS-BDG-00008123,0
CUS-BDG-00008128,0
CUS-BDG-00008167,0
CUS-BDG-00008172,0
CUS-BDG-00008227,1
CUS-BDG-00008253,0
CUS-BDG-00008255,0
