id,event_timestamp,label,f_customer_total_orders_90d,f_customer_paid_revenue_90d,f_customer_avg_order_value_90d,f_customer_distinct_categories_90d,f_stream_views_60m,f_stream_add_to_cart_60m,f_stream_checkout_started_60m,f_stream_order_placed_60m,f_stream_cart_to_purchase_ratio_60m,created
CUS-BDG-00000004,2026-04-24T23:59:00Z,0,2,3641000,3641000,1,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000030,2026-04-24T23:59:00Z,1,9,30562759,3395862.11111,3,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000031,2026-04-24T23:59:00Z,1,1,1567880,1567880,1,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000043,2026-04-24T23:59:00Z,0,1,474000,474000,1,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000049,2026-04-24T23:59:00Z,0,6,15946111,2657685.16667,3,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000055,2026-04-24T23:59:00Z,1,1,5705000,5705000,1,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000087,2026-04-24T23:59:00Z,0,0,0,0,0,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000092,2026-04-24T23:59:00Z,1,3,6449710,2149903.33333,2,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000102,2026-04-24T23:59:00Z,0,5,8770000,2192500,3,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000106,2026-04-24T23:59:00Z,0,3,20630000,6876666.66667,3,0,0,1,1,0,2026-04-24T23:59:00Z
CUS-BDG-00000118,2026-04-24T23:59:00Z,0,2,9807175,4903587.5,1,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000159,2026-04-24T23:59:00Z,0,2,4971000,2485500,1,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000180,2026-04-24T23:59:00Z,1,7,10967980,1566854.28571,2,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000189,2026-04-24T23:59:00Z,1,1,712000,712000,1,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000211,2026-04-24T23:59:00Z,0,1,1394820,1394820,1,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000215,2026-04-24T23:59:00Z,1,5,11715306,2343061.2,3,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000216,2026-04-24T23:59:00Z,0,5,9881756,1976351.2,3,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000256,2026-04-24T23:59:00Z,0,8,20633280,2947611.42857,3,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000275,2026-04-24T23:59:00Z,0,3,3296000,1098666.66667,2,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000318,2026-04-24T23:59:00Z,1,4,13431300,3357825,2,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000331,2026-04-24T23:59:00Z,1,3,6518944,2172981.33333,1,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000333,2026-04-24T23:59:00Z,0,1,18613000,18613000,1,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000338,2026-04-24T23:59:00Z,0,3,9115665,3038555,3,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000380,2026-04-24T23:59:00Z,1,2,1895000,947500,2,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000387,2026-04-24T23:59:00Z,0,6,14876930,2479488.33333,2,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000394,2026-04-24T23:59:00Z,0,5,14982069,2996413.8,3,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000433,2026-04-24T23:59:00Z,1,4,6521420,1630355,2,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000439,2026-04-24T23:59:00Z,1,5,5191305,1038261,1,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000443,2026-04-24T23:59:00Z,1,9,33844572,3760508,3,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000446,2026-04-24T23:59:00Z,1,0,0,0,0,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000453,2026-04-24T23:59:00Z,1,2,64710000,32355000,1,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000466,2026-04-24T23:59:00Z,1,1,2682078,2682078,1,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000491,2026-04-24T23:59:00Z,0,2,1878045,939022.5,1,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000501,2026-04-24T23:59:00Z,1,2,1228970,614485,1,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000518,2026-04-24T23:59:00Z,1,3,2668684,889561.333333,1,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000531,2026-04-24T23:59:00Z,0,5,9051001,1810200.2,2,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000532,2026-04-24T23:59:00Z,0,4,5278022,1319505.5,1,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000597,2026-04-24T23:59:00Z,1,2,4121000,2060500,1,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000604,2026-04-24T23:59:00Z,0,3,38026902,19013451,3,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000609,2026-04-24T23:59:00Z,1,4,6729000,1682250,2,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000616,2026-04-24T23:59:00Z,0,1,8918000,8918000,1,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000617,2026-04-24T23:59:00Z,1,11,17196082,1563280.18182,4,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000638,2026-04-24T23:59:00Z,0,1,298000,298000,1,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000641,2026-04-24T23:59:00Z,0,2,413256,413256,2,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000666,2026-04-24T23:59:00Z,1,6,21830128,3638354.66667,4,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000674,2026-04-24T23:59:00Z,0,1,3049000,3049000,1,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000697,2026-04-24T23:59:00Z,1,2,17203066,8601533,1,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000736,2026-04-24T23:59:00Z,0,0,0,0,0,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000755,2026-04-24T23:59:00Z,1,1,742000,742000,1,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000761,2026-04-24T23:59:00Z,1,2,3326383,1663191.5,2,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000799,2026-04-24T23:59:00Z,1,4,3027260,756815,1,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000800,2026-04-24T23:59:00Z,0,2,26831232,13415616,2,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000801,2026-04-24T23:59:00Z,1,2,13098000,6549000,2,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000807,2026-04-24T23:59:00Z,0,0,0,0,0,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000835,2026-04-24T23:59:00Z,0,2,2692515,1346257.5,1,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000848,2026-04-24T23:59:00Z,0,4,20392000,5098000,2,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000857,2026-04-24T23:59:00Z,1,1,907494,907494,1,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000861,2026-04-24T23:59:00Z,0,2,5050074,2525037,2,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000862,2026-04-24T23:59:00Z,0,4,8641780,2160445,2,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000871,2026-04-24T23:59:00Z,0,0,0,0,0,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000875,2026-04-24T23:59:00Z,1,7,26041081,4340180.16667,3,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000890,2026-04-24T23:59:00Z,1,7,19482520,2783217.14286,3,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000930,2026-04-24T23:59:00Z,0,3,66263044,22087681.3333,1,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000947,2026-04-24T23:59:00Z,1,6,8574546,1429091,2,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000983,2026-04-24T23:59:00Z,0,3,7483000,2494333.33333,1,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00001009,2026-04-24T23:59:00Z,0,7,20541356,2934479.42857,3,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00001022,2026-04-24T23:59:00Z,1,4,3189020,797255,1,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00001029,2026-04-24T23:59:00Z,1,3,23438675,7812891.66667,3,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00001032,2026-04-24T23:59:00Z,0,6,10827134,1804522.33333,2,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00001060,2026-04-24T23:59:00Z,1,3,12594000,4198000,3,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00001068,2026-04-24T23:59:00Z,0,1,1897740,1897740,1,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00001086,2026-04-24T23:59:00Z,0,3,2460000,820000,2,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00001128,2026-04-24T23:59:00Z,1,2,7014000,3507000,1,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00001134,2026-04-24T23:59:00Z,0,6,6345463,1057577.16667,1,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00001147,2026-04-24T23:59:00Z,0,1,1668000,1668000,1,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00001172,2026-04-24T23:59:00Z,1,1,1762798,1762798,1,0,0,0,0,0,2026-04-24T23:59:00Z
