id,event_timestamp,label,f_customer_total_orders_90d,f_customer_paid_revenue_90d,f_customer_avg_order_value_90d,f_customer_distinct_categories_90d,f_stream_views_60m,f_stream_add_to_cart_60m,f_stream_checkout_started_60m,f_stream_order_placed_60m,f_stream_cart_to_purchase_ratio_60m,created
CUS-BDG-00000004,2026-04-24T23:59:00Z,0,2,3641000,3641000,1,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000030,2026-04-24T23:59:00Z,1,9,30562759,3395862.11111,3,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000031,2026-04-24T23:59:00Z,1,1,1567880,1567880,1,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000043,2026-04-24T23:59:00Z,0,1,474000,474000,1,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000049,2026-04-24T23:59:00Z,0,6,15946111,2657685.16667,3,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000055,2026-04-24T23:59:00Z,1,1,5705000,5705000,1,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000087,2026-04-24T23:59:00Z,0,0,0,0,0,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000092,2026-04-24T23:59:00Z,1,3,6449710,2149903.33333,2,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000102,2026-04-24T23:59:00Z,0,5,8770000,2192500,3,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000106,2026-04-24T23:59:00Z,0,3,20630000,6876666.66667,3,0,0,1,1,0,2026-04-24T23:59:00Z
CUS-BDG-00000118,2026-04-24T23:59:00Z,0,2,9807175,4903587.5,1,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000159,2026-04-24T23:59:00Z,0,2,4971000,2485500,1,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000180,2026-04-24T23:59:00Z,1,7,10967980,1566854.28571,2,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000189,2026-04-24T23:59:00Z,1,1,712000,712000,1,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000211,2026-04-24T23:59:00Z,0,1,1394820,1394820,1,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000215,2026-04-24T23:59:00Z,1,5,11715306,2343061.2,3,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000216,2026-04-24T23:59:00Z,0,5,9881756,1976351.2,3,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000256,2026-04-24T23:59:00Z,0,8,20633280,2947611.42857,3,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000275,2026-04-24T23:59:00Z,0,3,3296000,1098666.66667,2,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000318,2026-04-24T23:59:00Z,1,4,13431300,3357825,2,0,0,0,0,0,2026-04-24T23:59:00Z
