id,event_timestamp,label,f_customer_total_orders_90d,f_customer_paid_revenue_90d,f_customer_avg_order_value_90d,f_customer_distinct_categories_90d,f_stream_views_60m,f_stream_add_to_cart_60m,f_stream_checkout_started_60m,f_stream_order_placed_60m,f_stream_cart_to_purchase_ratio_60m,created
CUS-BDG-00000004,2026-04-24T23:59:00Z,0,2,3641000.000000000000,3641000.000000000000,1,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
CUS-BDG-00000030,2026-04-24T23:59:00Z,1,9,30854759.000000000000,3428306.555555555504,3,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
CUS-BDG-00000031,2026-04-24T23:59:00Z,0,3,2728880.000000000000,1364440.000000000000,3,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
CUS-BDG-00000043,2026-04-24T23:59:00Z,1,0,0.000000000000,0.000000000000,0,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
CUS-BDG-00000049,2026-04-24T23:59:00Z,0,6,15946111.000000000000,2657685.166666666511,3,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
CUS-BDG-00000055,2026-04-24T23:59:00Z,0,2,6441000.000000000000,3220500.000000000000,1,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
CUS-BDG-00000087,2026-04-24T23:59:00Z,0,0,0.000000000000,0.000000000000,0,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
CUS-BDG-00000092,2026-04-24T23:59:00Z,1,3,7790638.000000000000,2596879.333333333489,2,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
CUS-BDG-00000102,2026-04-24T23:59:00Z,0,5,8770000.000000000000,2192500.000000000000,3,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
CUS-BDG-00000106,2026-04-24T23:59:00Z,0,3,20630000.000000000000,6876666.666666666977,3,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
CUS-BDG-00000118,2026-04-24T23:59:00Z,0,2,9807175.000000000000,4903587.500000000000,1,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
CUS-BDG-00000159,2026-04-24T23:59:00Z,0,2,4971000.000000000000,2485500.000000000000,1,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
CUS-BDG-00000180,2026-04-24T23:59:00Z,1,6,9545000.000000000000,1590833.333333333256,2,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
CUS-BDG-00000189,2026-04-24T23:59:00Z,1,1,712000.000000000000,712000.000000000000,1,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
CUS-BDG-00000211,2026-04-24T23:59:00Z,0,1,1394820.000000000000,1394820.000000000000,1,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
CUS-BDG-00000215,2026-04-24T23:59:00Z,1,5,12454234.000000000000,2490846.799999999814,3,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
CUS-BDG-00000216,2026-04-24T23:59:00Z,1,4,8819000.000000000000,2204750.000000000000,2,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
CUS-BDG-00000256,2026-04-24T23:59:00Z,1,7,12813432.000000000000,2135572.000000000000,3,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
CUS-BDG-00000275,2026-04-24T23:59:00Z,0,3,3296000.000000000000,1098666.666666666744,2,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
CUS-BDG-00000318,2026-04-24T23:59:00Z,0,6,20787300.000000000000,3464550.000000000000,2,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
CUS-BDG-00000331,2026-04-24T23:59:00Z,1,3,4472220.000000000000,1490740.000000000000,1,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
CUS-BDG-00000333,2026-04-24T23:59:00Z,0,1,18613000.000000000000,18613000.000000000000,1,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
CUS-BDG-00000338,2026-04-24T23:59:00Z,0,3,9115665.000000000000,3038555.000000000000,3,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
CUS-BDG-00000380,2026-04-24T23:59:00Z,1,2,1156000.000000000000,578000.000000000000,2,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
CUS-BDG-00000387,2026-04-24T23:59:00Z,1,4,2445025.000000000000,611256.250000000000,1,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
CUS-BDG-00000394,2026-04-24T23:59:00Z,1,4,13924069.000000000000,3481017.250000000000,3,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
CUS-BDG-00000433,2026-04-24T23:59:00Z,1,5,32650420.000000000000,6530084.000000000000,3,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
CUS-BDG-00000439,2026-04-24T23:59:00Z,1,4,2786533.000000000000,696633.250000000000,1,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
CUS-BDG-00000443,2026-04-24T23:59:00Z,1,10,34503664.000000000000,3450366.399999999907,3,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
CUS-BDG-00000446,2026-04-24T23:59:00Z,0,2,1819110.000000000000,909555.000000000000,1,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
CUS-BDG-00000453,2026-04-24T23:59:00Z,0,4,85567000.000000000000,21391750.000000000000,1,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
CUS-BDG-00000466,2026-04-24T23:59:00Z,0,2,3629038.000000000000,1814519.000000000000,2,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
CUS-BDG-00000491,2026-04-24T23:59:00Z,0,2,1878045.000000000000,939022.500000000000,1,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
CUS-BDG-00000501,2026-04-24T23:59:00Z,0,3,2954970.000000000000,984990.000000000000,1,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
CUS-BDG-00000518,2026-04-24T23:59:00Z,0,5,5472964.000000000000,1094592.800000000047,1,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
CUS-BDG-00000531,2026-04-24T23:59:00Z,1,4,8667001.000000000000,2166750.250000000000,2,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
CUS-BDG-00000532,2026-04-24T23:59:00Z,0,4,5278022.000000000000,1319505.500000000000,1,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
CUS-BDG-00000597,2026-04-24T23:59:00Z,0,4,16431450.000000000000,4107862.500000000000,2,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
CUS-BDG-00000604,2026-04-24T23:59:00Z,0,3,38026902.000000000000,19013451.000000000000,3,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
CUS-BDG-00000609,2026-04-24T23:59:00Z,1,6,13830000.000000000000,2305000.000000000000,2,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
CUS-BDG-00000616,2026-04-24T23:59:00Z,0,1,8918000.000000000000,8918000.000000000000,1,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
CUS-BDG-00000617,2026-04-24T23:59:00Z,1,9,15367101.000000000000,1707455.666666666744,4,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
CUS-BDG-00000638,2026-04-24T23:59:00Z,0,1,298000.000000000000,298000.000000000000,1,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
CUS-BDG-00000641,2026-04-24T23:59:00Z,0,2,413256.000000000000,413256.000000000000,2,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
CUS-BDG-00000666,2026-04-24T23:59:00Z,1,4,18387208.000000000000,4596802.000000000000,3,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
CUS-BDG-00000674,2026-04-24T23:59:00Z,0,1,3049000.000000000000,3049000.000000000000,1,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
CUS-BDG-00000697,2026-04-24T23:59:00Z,1,2,15064066.000000000000,7532033.000000000000,2,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
CUS-BDG-00000736,2026-04-24T23:59:00Z,0,0,0.000000000000,0.000000000000,0,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
CUS-BDG-00000755,2026-04-24T23:59:00Z,0,2,6211000.000000000000,3105500.000000000000,1,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
CUS-BDG-00000761,2026-04-24T23:59:00Z,0,3,5193383.000000000000,1731127.666666666744,2,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
CUS-BDG-00000799,2026-04-24T23:59:00Z,0,5,4465164.000000000000,893032.800000000047,1,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
CUS-BDG-00000800,2026-04-24T23:59:00Z,0,2,26831232.000000000000,13415616.000000000000,2,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
CUS-BDG-00000801,2026-04-24T23:59:00Z,1,2,12815000.000000000000,6407500.000000000000,2,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
CUS-BDG-00000807,2026-04-24T23:59:00Z,0,1,0.000000000000,0.000000000000,1,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
CUS-BDG-00000835,2026-04-24T23:59:00Z,0,2,2692515.000000000000,1346257.500000000000,1,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
CUS-BDG-00000848,2026-04-24T23:59:00Z,1,3,19409000.000000000000,6469666.666666666977,2,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
CUS-BDG-00000857,2026-04-24T23:59:00Z,0,2,1809494.000000000000,904747.000000000000,1,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
CUS-BDG-00000861,2026-04-24T23:59:00Z,0,2,5050074.000000000000,2525037.000000000000,2,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
CUS-BDG-00000862,2026-04-24T23:59:00Z,1,3,7650780.000000000000,2550260.000000000000,2,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
CUS-BDG-00000871,2026-04-24T23:59:00Z,0,0,0.000000000000,0.000000000000,0,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
CUS-BDG-00000875,2026-04-24T23:59:00Z,1,6,22614813.000000000000,3769135.500000000000,2,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
CUS-BDG-00000890,2026-04-24T23:59:00Z,1,5,9456520.000000000000,1891304.000000000000,2,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
CUS-BDG-00000930,2026-04-24T23:59:00Z,0,3,66263044.000000000000,22087681.333333332092,1,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
CUS-BDG-00000947,2026-04-24T23:59:00Z,1,6,9382000.000000000000,1563666.666666666744,2,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
CUS-BDG-00000983,2026-04-24T23:59:00Z,1,2,6934000.000000000000,3467000.000000000000,1,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
CUS-BDG-00001009,2026-04-24T23:59:00Z,1,5,17672356.000000000000,3534471.200000000186,3,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
CUS-BDG-00001022,2026-04-24T23:59:00Z,1,6,4543652.000000000000,757275.333333333372,1,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
CUS-BDG-00001029,2026-04-24T23:59:00Z,0,4,25118675.000000000000,6279668.750000000000,3,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
CUS-BDG-00001032,2026-04-24T23:59:00Z,0,6,10827134.000000000000,1804522.333333333256,2,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
CUS-BDG-00001060,2026-04-24T23:59:00Z,0,4,13084000.000000000000,3271000.000000000000,3,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
CUS-BDG-00001068,2026-04-24T23:59:00Z,0,1,1897740.000000000000,1897740.000000000000,1,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
CUS-BDG-00001086,2026-04-24T23:59:00Z,1,2,1522000.000000000000,761000.000000000000,2,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
CUS-BDG-00001128,2026-04-24T23:59:00Z,0,3,8041000.000000000000,2680333.333333333489,2,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
CUS-BDG-00001134,2026-04-24T23:59:00Z,1,5,5628463.000000000000,1125692.600000000093,1,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
CUS-BDG-00001147,2026-04-24T23:59:00Z,0,1,1668000.000000000000,1668000.000000000000,1,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
CUS-BDG-00001172,2026-04-24T23:59:00Z,0,2,2704996.000000000000,1352498.000000000000,1,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
