id,event_timestamp,label,f_customer_total_orders_90d,f_customer_paid_revenue_90d,f_customer_avg_order_value_90d,f_customer_distinct_categories_90d,f_stream_views_60m,f_stream_add_to_cart_60m,f_stream_checkout_started_60m,f_stream_order_placed_60m,f_stream_cart_to_purchase_ratio_60m,created
CUS-BDG-00000004,2026-04-24T23:59:00Z,0,2,3641000,3641000,1,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000030,2026-04-24T23:59:00Z,1,9,30854759,3428306.55556,3,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000031,2026-04-24T23:59:00Z,0,3,2728880,1364440,3,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000043,2026-04-24T23:59:00Z,1,0,0,0,0,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000049,2026-04-24T23:59:00Z,0,6,15946111,2657685.16667,3,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000055,2026-04-24T23:59:00Z,0,2,6441000,3220500,1,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000087,2026-04-24T23:59:00Z,0,0,0,0,0,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000092,2026-04-24T23:59:00Z,1,3,7790638,2596879.33333,2,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000102,2026-04-24T23:59:00Z,0,5,8770000,2192500,3,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000106,2026-04-24T23:59:00Z,0,3,20630000,6876666.66667,3,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000118,2026-04-24T23:59:00Z,0,2,9807175,4903587.5,1,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000159,2026-04-24T23:59:00Z,0,2,4971000,2485500,1,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000180,2026-04-24T23:59:00Z,1,6,9545000,1590833.33333,2,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000189,2026-04-24T23:59:00Z,1,1,712000,712000,1,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000211,2026-04-24T23:59:00Z,0,1,1394820,1394820,1,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000215,2026-04-24T23:59:00Z,1,5,12454234,2490846.8,3,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000216,2026-04-24T23:59:00Z,1,4,8819000,2204750,2,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000256,2026-04-24T23:59:00Z,1,7,12813432,2135572,3,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000275,2026-04-24T23:59:00Z,0,3,3296000,1098666.66667,2,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000318,2026-04-24T23:59:00Z,0,6,20787300,3464550,2,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000331,2026-04-24T23:59:00Z,1,3,4472220,1490740,1,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000333,2026-04-24T23:59:00Z,0,1,18613000,18613000,1,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000338,2026-04-24T23:59:00Z,0,3,9115665,3038555,3,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000380,2026-04-24T23:59:00Z,1,2,1156000,578000,2,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000387,2026-04-24T23:59:00Z,1,4,2445025,611256.25,1,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000394,2026-04-24T23:59:00Z,1,4,13924069,3481017.25,3,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000433,2026-04-24T23:59:00Z,1,5,32650420,6530084,3,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000439,2026-04-24T23:59:00Z,1,4,2786533,696633.25,1,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000443,2026-04-24T23:59:00Z,1,10,34503664,3450366.4,3,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000446,2026-04-24T23:59:00Z,0,2,1819110,909555,1,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000453,2026-04-24T23:59:00Z,0,4,85567000,21391750,1,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000466,2026-04-24T23:59:00Z,0,2,3629038,1814519,2,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000491,2026-04-24T23:59:00Z,0,2,1878045,939022.5,1,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000501,2026-04-24T23:59:00Z,0,3,2954970,984990,1,0,0,0,0,0,2026-04-24T23:59:00Z
CUS-BDG-00000518,2026-04-24T23:59:00Z,0,5,5472964,1094592.8,1,0,0,0,0,0,2026-04-24T23:59:00Z
