id,event_timestamp,label,f_customer_total_orders_90d,f_customer_paid_revenue_90d,f_customer_avg_order_value_90d,f_customer_distinct_categories_90d,f_stream_views_60m,f_stream_add_to_cart_60m,f_stream_checkout_started_60m,f_stream_order_placed_60m,f_stream_cart_to_purchase_ratio_60m,created
CUS-BDG-00000004,2026-04-24T23:59:00Z,0,2,3641000.000000000000,3641000.000000000000,1,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
CUS-BDG-00000030,2026-04-24T23:59:00Z,1,9,30854759.000000000000,3428306.555555555504,3,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
CUS-BDG-00000031,2026-04-24T23:59:00Z,0,3,2728880.000000000000,1364440.000000000000,3,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
CUS-BDG-00000043,2026-04-24T23:59:00Z,1,0,0.000000000000,0.000000000000,0,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
CUS-BDG-00000049,2026-04-24T23:59:00Z,0,6,15946111.000000000000,2657685.166666666511,3,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
CUS-BDG-00000055,2026-04-24T23:59:00Z,0,2,6441000.000000000000,3220500.000000000000,1,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
CUS-BDG-00000087,2026-04-24T23:59:00Z,0,0,0.000000000000,0.000000000000,0,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
CUS-BDG-00000092,2026-04-24T23:59:00Z,1,3,7790638.000000000000,2596879.333333333489,2,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
CUS-BDG-00000102,2026-04-24T23:59:00Z,0,5,8770000.000000000000,2192500.000000000000,3,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
CUS-BDG-00000106,2026-04-24T23:59:00Z,0,3,20630000.000000000000,6876666.666666666977,3,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
CUS-BDG-00000118,2026-04-24T23:59:00Z,0,2,9807175.000000000000,4903587.500000000000,1,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
CUS-BDG-00000159,2026-04-24T23:59:00Z,0,2,4971000.000000000000,2485500.000000000000,1,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
CUS-BDG-00000180,2026-04-24T23:59:00Z,1,6,9545000.000000000000,1590833.333333333256,2,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
CUS-BDG-00000189,2026-04-24T23:59:00Z,1,1,712000.000000000000,712000.000000000000,1,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
CUS-BDG-00000211,2026-04-24T23:59:00Z,0,1,1394820.000000000000,1394820.000000000000,1,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
CUS-BDG-00000215,2026-04-24T23:59:00Z,1,5,12454234.000000000000,2490846.799999999814,3,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
CUS-BDG-00000216,2026-04-24T23:59:00Z,1,4,8819000.000000000000,2204750.000000000000,2,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
CUS-BDG-00000256,2026-04-24T23:59:00Z,1,7,12813432.000000000000,2135572.000000000000,3,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
CUS-BDG-00000275,2026-04-24T23:59:00Z,0,3,3296000.000000000000,1098666.666666666744,2,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
CUS-BDG-00000318,2026-04-24T23:59:00Z,0,6,20787300.000000000000,3464550.000000000000,2,0,0,0,0,0.000000000000,2026-04-24T23:59:00Z
