metric,value
hcmc_hanoi_customer_share,0.455
fmcg_elha_product_share,0.67667
missing_brand_rate,0.01833
missing_shipping_method_rate,0.02667
order_session_link_rate,1.0
offline_order_item_duplicate_rate,0.0195
issue_order_items_exact_duplicate_payload,0.0195
issue_products_missing_brand,0.01833
issue_orders_missing_shipping_method,0.02667
issue_products_schema_evolution_category_attributes,0.42833
issue_bad_snapshots_invalid_json,0.25
issue_bad_snapshots_invalid_timestamp,0.25
issue_bad_snapshots_missing_required_key,0.25
issue_bad_snapshots_unknown_schema_version,0.25
issue_commerce_events_exact_duplicate_event_payload,0.01473
issue_commerce_events_missing_device_type,0.0391
issue_commerce_events_late_arrival,0.12024
issue_dead_letter_events_invalid_json,0.25
issue_dead_letter_events_invalid_timestamp,0.25
issue_dead_letter_events_missing_required_key,0.25
issue_dead_letter_events_unknown_schema_version,0.25
