snapshot_id,product_id,seller_id,snapshot_ts,stock_on_hand,reserved_stock
INV-20260425-00000001,PRD-ELHA-00000001,SEL-HCM-STA-00000016,2026-04-25,41,3
INV-20260425-00000002,PRD-FMCG-00000002,SEL-HPH-STA-00000026,2026-04-25,186,15
INV-20260425-00000003,PRD-FMCG-00000003,SEL-HCM-PRE-00000030,2026-04-25,187,10
INV-20260425-00000004,PRD-FMCG-00000004,SEL-BDG-STA-00000005,2026-04-25,209,15
INV-20260425-00000005,PRD-FMCG-00000005,SEL-HCM-OFF-00000075,2026-04-25,167,11
INV-20260425-00000006,PRD-FMCG-00000006,SEL-HUI-NEW-00000036,2026-04-25,169,15
INV-20260425-00000007,PRD-FMCG-00000007,SEL-DNA-PRE-00000049,2026-04-25,184,7
INV-20260425-00000008,PRD-FMCG-00000008,SEL-DNA-STA-00000071,2026-04-25,185,16
INV-20260425-00000009,PRD-FMCG-00000009,SEL-HAN-STA-00000054,2026-04-25,182,17
INV-20260425-00000010,PRD-FASHION-00000010,SEL-CTO-NEW-00000070,2026-04-25,47,5
INV-20260425-00000011,PRD-FASHION-00000011,SEL-DAD-PRE-00000023,2026-04-25,53,4
INV-20260425-00000012,PRD-FASHION-00000012,SEL-NTR-PRE-00000058,2026-04-25,62,8
INV-20260425-00000013,PRD-ELHA-00000013,SEL-DAD-PRE-00000023,2026-04-25,67,7
INV-20260425-00000014,PRD-HOME-LIVING-00000014,SEL-HCM-PRE-00000055,2026-04-25,55,7
INV-20260425-00000015,PRD-FMCG-00000015,SEL-HCM-OFF-00000079,2026-04-25,181,12
INV-20260425-00000016,PRD-FMCG-00000016,SEL-HAN-PRE-00000009,2026-04-25,189,24
INV-20260425-00000017,PRD-ELHA-00000017,SEL-HCM-OFF-00000079,2026-04-25,43,3
INV-20260425-00000018,PRD-ELHA-00000018,SEL-CTO-NEW-00000070,2026-04-25,55,5
INV-20260425-00000019,PRD-FASHION-00000019,SEL-HCM-STA-00000039,2026-04-25,50,2
INV-20260425-00000020,PRD-FASHION-00000020,SEL-HAN-PRE-00000076,2026-04-25,55,8
