order_item_id,order_id,product_id,seller_id,primary_category,primary_subcategory,quantity,unit_price,gross_amount,discount_amount,net_amount,promotion_id,created_ts
ITM-0000000001,ORD-DNA-20260428-00000001,PRD-FMCG-00000387,SEL-HAN-STA-00000072,FMCG,Household Goods,1,173000.0,173000.0,0.0,173000.0,,2026-04-28 21:23:56
ITM-0000000002,ORD-DNA-20260428-00000001,PRD-FMCG-00000580,SEL-OVN-NEW-00000057,FMCG,Groceries,3,85000.0,255000.0,0.0,255000.0,,2026-04-28 21:23:56
ITM-0000000003,ORD-DNA-20260428-00000001,PRD-FMCG-00000094,SEL-OVN-STA-00000020,FMCG,Mom & Baby,1,109000.0,109000.0,0.0,109000.0,,2026-04-28 21:23:56
ITM-0000000004,ORD-DNA-20260428-00000001,PRD-FMCG-00000065,SEL-HCM-PRE-00000055,FMCG,Pet Care,1,62000.0,62000.0,0.0,62000.0,,2026-04-28 21:23:56
ITM-0000000005,ORD-DNA-20260428-00000001,PRD-FMCG-00000458,SEL-OVN-NEW-00000057,FMCG,Mom & Baby,2,119000.0,238000.0,0.0,238000.0,,2026-04-28 21:23:56
ITM-0000000006,ORD-DNA-20260428-00000001,PRD-FMCG-00000075,SEL-HCM-STA-00000077,FMCG,Health & Beauty,4,16000.0,64000.0,0.0,64000.0,,2026-04-28 21:23:56
ITM-0000000007,ORD-HPH-20260429-00000002,PRD-FMCG-00000016,SEL-HAN-PRE-00000009,FMCG,Groceries,2,80000.0,160000.0,0.0,160000.0,,2026-04-29 22:49:18
ITM-0000000008,ORD-HPH-20260429-00000002,PRD-FMCG-00000248,SEL-HAN-STA-00000003,FMCG,Mom & Baby,4,96000.0,384000.0,0.0,384000.0,,2026-04-29 22:49:18
ITM-0000000009,ORD-HPH-20260429-00000002,PRD-FMCG-00000425,SEL-HCM-NEW-00000018,FMCG,Pet Care,3,25000.0,75000.0,0.0,75000.0,,2026-04-29 22:49:18
ITM-0000000010,ORD-HPH-20260429-00000002,PRD-FMCG-00000548,SEL-HAN-PRE-00000067,FMCG,Mom & Baby,4,102000.0,408000.0,0.0,408000.0,,2026-04-29 22:49:18
ITM-0000000011,ORD-HPH-20260429-00000002,PRD-FMCG-00000211,SEL-CTO-STA-00000032,FMCG,Health & Beauty,1,55000.0,55000.0,0.0,55000.0,,2026-04-29 22:49:18
ITM-0000000012,ORD-HCM-20260429-00000003,PRD-FMCG-00000477,SEL-HUI-NEW-00000036,FMCG,Mom & Baby,3,66000.0,198000.0,53856.0,144144.0,PRM-FMCG-00000008,2026-04-29 10:49:55
ITM-0000000013,ORD-HCM-20260429-00000003,PRD-FMCG-00000463,SEL-HCM-NEW-00000035,FMCG,Mom & Baby,3,155000.0,465000.0,126480.0,338520.0,PRM-FMCG-00000008,2026-04-29 10:49:55
ITM-0000000014,ORD-HCM-20260429-00000003,PRD-FMCG-00000378,SEL-CTO-STA-00000032,FMCG,Groceries,6,82000.0,492000.0,133824.0,358176.0,PRM-FMCG-00000008,2026-04-29 10:49:55
ITM-0000000015,ORD-NTR-20260430-00000004,PRD-ELHA-00000097,SEL-BDG-STA-00000005,ELHA,Home Appliances,1,3860000.0,3860000.0,988160.0,2871840.0,PRM-ELHA-00000013,2026-04-30 21:40:55
ITM-0000000016,ORD-NTR-20260430-00000004,PRD-ELHA-00000431,SEL-HAN-STA-00000003,ELHA,Smart Devices & Cameras,2,4365000.0,8730000.0,2234880.0,6495120.0,PRM-ELHA-00000013,2026-04-30 21:40:55
ITM-0000000017,ORD-NTR-20260430-00000004,PRD-ELHA-00000100,SEL-HCM-PRE-00000055,ELHA,Computers & Accessories,2,978000.0,1956000.0,500736.0,1455264.0,PRM-ELHA-00000013,2026-04-30 21:40:55
ITM-0000000018,ORD-HPH-20260430-00000005,PRD-FMCG-00000137,SEL-HAN-PRE-00000076,FMCG,Household Goods,1,79000.0,79000.0,20540.0,58460.0,PRM-FMCG-00000016,2026-04-30 22:02:24
ITM-0000000019,ORD-HPH-20260430-00000005,PRD-FMCG-00000500,SEL-HAN-STA-00000063,FMCG,Groceries,4,44000.0,176000.0,45760.0,130240.0,PRM-FMCG-00000016,2026-04-30 22:02:24
ITM-0000000020,ORD-HAN-20260430-00000006,PRD-FASHION-00000525,SEL-OVN-PRE-00000021,Fashion,Men's Fashion,1,173000.0,173000.0,0.0,173000.0,,2026-04-30 22:51:11
