order_id,customer_id,session_id,anonymous_id,order_timestamp,created_ts,order_date,primary_category,status,shipping_city,shipping_region,shipping_method,fulfillment_channel,promotion_id,coupon_code,item_count,order_gross_amount,order_discount_amount,order_net_amount
ORD-DNA-20260428-00000001,CUS-DNA-00000672,SES-DNA-20260428-00000001,ANON-00000672,2026-04-28 21:21:56,2026-04-28 21:23:56,2026-04-28,FMCG,paid,Dong Nai,Southeast,same_day,,,,6,901000.0,0.0,901000.0
ORD-HPH-20260429-00000002,CUS-HPH-00000105,SES-HPH-20260429-00000002,ANON-00000105,2026-04-29 22:45:28,2026-04-29 22:49:18,2026-04-29,FMCG,paid,Hai Phong,Red River Delta,standard,seller_fulfilled,,,5,1082000.0,0.0,1082000.0
ORD-HCM-20260429-00000003,CUS-HCM-00000024,SES-HCM-20260429-00000003,ANON-00000024,2026-04-29 10:47:39,2026-04-29 10:49:55,2026-04-29,FMCG,paid,Ho Chi Minh City,Southeast,same_day,seller_fulfilled,PRM-FMCG-00000008,VBS-00000008,3,1155000.0,314160.0,840840.0
ORD-NTR-20260430-00000004,CUS-NTR-00000243,SES-NTR-20260430-00000004,ANON-00000243,2026-04-30 21:37:05,2026-04-30 21:40:55,2026-04-30,ELHA,paid,Nha Trang,Central Coast,express,seller_fulfilled,PRM-ELHA-00000013,VBS-00000013,3,14546000.0,3723776.0,10822224.0
ORD-HPH-20260430-00000005,CUS-HPH-00000742,SES-HPH-20260430-00000005,ANON-00000742,2026-04-30 22:01:24,2026-04-30 22:02:24,2026-04-30,FMCG,paid,Hai Phong,Red River Delta,standard,platform_fulfilled,PRM-FMCG-00000016,VBS-00000016,2,255000.0,66300.0,188700.0
ORD-HAN-20260430-00000006,CUS-HAN-00000295,SES-HAN-20260430-00000006,ANON-00000295,2026-04-30 22:51:05,2026-04-30 22:51:11,2026-04-30,Fashion,paid,Ha Noi,Red River Delta,express,platform_fulfilled,,,3,1487000.0,0.0,1487000.0
ORD-OVN-20260426-00000007,CUS-OVN-00000099,SES-OVN-20260426-00000007,ANON-00000099,2026-04-26 12:31:04,2026-04-26 12:31:49,2026-04-26,FMCG,paid,Other VN,Other,express,,,,3,312000.0,0.0,312000.0
ORD-CTO-20260429-00000008,CUS-CTO-00000147,SES-CTO-20260429-00000008,ANON-00000147,2026-04-29 08:49:47,2026-04-29 08:52:17,2026-04-29,FMCG,paid,Can Tho,Mekong Delta,standard,seller_fulfilled,,,2,1310000.0,0.0,1310000.0
ORD-BDG-20260426-00000009,CUS-BDG-00000470,SES-BDG-20260426-00000009,ANON-00000470,2026-04-26 12:58:48,2026-04-26 13:02:24,2026-04-26,Fashion,paid,Binh Duong,Southeast,express,,,,3,2440000.0,0.0,2440000.0
ORD-DAD-20260426-00000010,CUS-DAD-00000689,SES-DAD-20260426-00000010,ANON-00000689,2026-04-26 08:20:37,2026-04-26 08:24:14,2026-04-26,FMCG,paid,Da Nang,Central Coast,standard,,,,7,1264000.0,0.0,1264000.0
ORD-CTO-20260429-00000011,CUS-CTO-00000790,SES-CTO-20260429-00000011,ANON-00000790,2026-04-29 19:18:46,2026-04-29 19:21:02,2026-04-29,FMCG,paid,Can Tho,Mekong Delta,standard,platform_fulfilled,PRM-FMCG-00000004,VBS-00000004,5,859000.0,111670.0,747330.0
ORD-HAN-20260502-00000012,CUS-HAN-00000359,SES-HAN-20260502-00000012,ANON-00000359,2026-05-02 20:30:48,2026-05-02 20:32:50,2026-05-02,ELHA,paid,Ha Noi,Red River Delta,express,seller_fulfilled,,,1,4104000.0,0.0,4104000.0
ORD-HAN-20260430-00000013,CUS-HAN-00000300,SES-HAN-20260430-00000013,ANON-00000300,2026-04-30 21:42:11,2026-04-30 21:42:47,2026-04-30,FMCG,paid,Ha Noi,Red River Delta,standard,seller_fulfilled,PRM-FMCG-00000001,VBS-00000001,7,1750000.0,430500.0,1319500.0
ORD-BDG-20260501-00000014,CUS-BDG-00000456,SES-BDG-20260501-00000014,ANON-00000456,2026-05-01 14:05:17,2026-05-01 14:06:46,2026-05-01,FMCG,paid,Binh Duong,Southeast,same_day,seller_fulfilled,PRM-FMCG-00000008,VBS-00000008,5,986000.0,268192.0,717808.0
ORD-HUI-20260428-00000015,CUS-HUI-00000390,SES-HUI-20260428-00000015,ANON-00000390,2026-04-28 17:54:12,2026-04-28 17:56:39,2026-04-28,Home & Living,paid,Hue,Central Coast,standard,,PRM-HOME-LIVING-00000012,VBS-00000012,1,1780000.0,478820.0,1301180.0
ORD-HAN-20260501-00000016,CUS-HAN-00000679,SES-HAN-20260501-00000016,ANON-00000679,2026-05-01 19:09:30,2026-05-01 19:11:02,2026-05-01,FMCG,paid,Ha Noi,Red River Delta,standard,cross_dock,,,5,2254000.0,0.0,2254000.0
ORD-OVN-20260430-00000017,CUS-OVN-00000033,SES-OVN-20260430-00000017,ANON-00000033,2026-04-30 11:36:33,2026-04-30 11:40:16,2026-04-30,FMCG,paid,Other VN,Other,standard,seller_fulfilled,,,4,795000.0,0.0,795000.0
ORD-BDG-20260426-00000018,CUS-BDG-00000124,SES-BDG-20260426-00000018,ANON-00000124,2026-04-26 10:54:30,2026-04-26 10:57:09,2026-04-26,FMCG,paid,Binh Duong,Southeast,standard,,,,5,1934000.0,0.0,1934000.0
ORD-HAN-20260426-00000019,CUS-HAN-00000146,SES-HAN-20260426-00000019,ANON-00000146,2026-04-26 11:35:39,2026-04-26 11:39:07,2026-04-26,FMCG,paid,Ha Noi,Red River Delta,standard,,,,7,1656000.0,0.0,1656000.0
ORD-HCM-20260429-00000020,CUS-HCM-00000292,SES-HCM-20260429-00000020,ANON-00000292,2026-04-29 02:02:27,2026-04-29 02:03:50,2026-04-29,Fashion,paid,Ho Chi Minh City,Southeast,same_day,platform_fulfilled,,,2,1064000.0,0.0,1064000.0
