payment_id,order_id,customer_id,payment_timestamp,created_ts,payment_method,amount,payment_status,failure_reason
PAY-DON-20260428-00000001,ORD-DNA-20260428-00000001,CUS-DNA-00000672,2026-04-28 21:29:56,2026-04-28 21:31:07,e_wallet,901000.0,success,
PAY-HAI-20260429-00000002,ORD-HPH-20260429-00000002,CUS-HPH-00000105,2026-04-29 22:49:28,2026-04-29 22:51:42,cod,1082000.0,success,
PAY-HO-20260429-00000003,ORD-HCM-20260429-00000003,CUS-HCM-00000024,2026-04-29 11:11:39,2026-04-29 11:13:00,domestic_card,840840.0,success,
PAY-NHA-20260430-00000004,ORD-NTR-20260430-00000004,CUS-NTR-00000243,2026-04-30 21:45:05,2026-04-30 21:45:35,cod,10822224.0,success,
PAY-HAI-20260430-00000005,ORD-HPH-20260430-00000005,CUS-HPH-00000742,2026-04-30 22:18:24,2026-04-30 22:18:33,cod,188700.0,success,
PAY-HA-20260430-00000006,ORD-HAN-20260430-00000006,CUS-HAN-00000295,2026-04-30 23:02:05,2026-04-30 23:02:20,e_wallet,1487000.0,success,
PAY-OTH-20260426-00000007,ORD-OVN-20260426-00000007,CUS-OVN-00000099,2026-04-26 12:37:04,2026-04-26 12:37:29,cod,312000.0,success,
PAY-CAN-20260429-00000008,ORD-CTO-20260429-00000008,CUS-CTO-00000147,2026-04-29 08:59:47,2026-04-29 09:01:26,cod,1310000.0,success,
PAY-BIN-20260426-00000009,ORD-BDG-20260426-00000009,CUS-BDG-00000470,2026-04-26 13:11:48,2026-04-26 13:14:13,cod,2440000.0,success,
PAY-DA-20260426-00000010,ORD-DAD-20260426-00000010,CUS-DAD-00000689,2026-04-26 08:22:37,2026-04-26 08:23:48,cod,1264000.0,success,
PAY-CAN-20260429-00000011,ORD-CTO-20260429-00000011,CUS-CTO-00000790,2026-04-29 19:40:46,2026-04-29 19:43:25,cod,747330.0,success,
PAY-HA-20260502-00000012,ORD-HAN-20260502-00000012,CUS-HAN-00000359,2026-05-02 20:38:48,2026-05-02 20:39:14,cod,4104000.0,success,
PAY-HA-20260430-00000013,ORD-HAN-20260430-00000013,CUS-HAN-00000300,2026-04-30 21:51:11,2026-04-30 21:52:38,e_wallet,1319500.0,success,
PAY-BIN-20260501-00000014,ORD-BDG-20260501-00000014,CUS-BDG-00000456,2026-05-01 14:21:17,2026-05-01 14:23:20,cod,717808.0,success,
PAY-HUE-20260428-00000015,ORD-HUI-20260428-00000015,CUS-HUI-00000390,2026-04-28 17:59:12,2026-04-28 18:00:13,cod,1301180.0,success,
PAY-HA-20260501-00000016,ORD-HAN-20260501-00000016,CUS-HAN-00000679,2026-05-01 19:16:30,2026-05-01 19:17:24,cod,2254000.0,success,
PAY-OTH-20260430-00000017,ORD-OVN-20260430-00000017,CUS-OVN-00000033,2026-04-30 11:55:33,2026-04-30 11:57:23,cod,795000.0,success,
PAY-BIN-20260426-00000018,ORD-BDG-20260426-00000018,CUS-BDG-00000124,2026-04-26 11:12:30,2026-04-26 11:13:34,domestic_card,1934000.0,success,
PAY-HA-20260426-00000019,ORD-HAN-20260426-00000019,CUS-HAN-00000146,2026-04-26 11:36:39,2026-04-26 11:36:58,domestic_card,1656000.0,success,
PAY-HO-20260429-00000020,ORD-HCM-20260429-00000020,CUS-HCM-00000292,2026-04-29 02:11:27,2026-04-29 02:11:42,e_wallet,1064000.0,success,
