product_id,category,subcategory,is_primary,assigned_ts
PRD-ELHA-00000001,ELHA,Computers & Accessories,True,2026-04-25 23:59:00
PRD-FMCG-00000002,FMCG,Groceries,True,2026-04-25 23:59:00
PRD-FMCG-00000003,FMCG,Mom & Baby,True,2026-04-25 23:59:00
PRD-FMCG-00000004,FMCG,Mom & Baby,True,2026-04-25 23:59:00
PRD-FMCG-00000005,FMCG,Health & Beauty,True,2026-04-25 23:59:00
PRD-FMCG-00000005,FMCG,Groceries,False,2026-04-29 23:59:00
PRD-FMCG-00000006,FMCG,Mom & Baby,True,2026-04-25 23:59:00
PRD-FMCG-00000007,FMCG,Household Goods,True,2026-04-25 23:59:00
PRD-FMCG-00000008,FMCG,Groceries,True,2026-04-25 23:59:00
PRD-FMCG-00000009,FMCG,Pet Care,True,2026-04-25 23:59:00
PRD-FASHION-00000010,Fashion,Bags & Luggage,True,2026-04-25 23:59:00
PRD-FASHION-00000010,Fashion,Men's Fashion,False,2026-04-29 23:59:00
PRD-FASHION-00000011,Fashion,Bags & Luggage,True,2026-04-25 23:59:00
PRD-FASHION-00000012,Fashion,Bags & Luggage,True,2026-04-25 23:59:00
PRD-ELHA-00000013,ELHA,Mobile & Gadgets,True,2026-04-25 23:59:00
PRD-HOME-LIVING-00000014,Home & Living,Kitchen & Dining,True,2026-04-25 23:59:00
PRD-FMCG-00000015,FMCG,Health & Beauty,True,2026-04-25 23:59:00
PRD-FMCG-00000016,FMCG,Groceries,True,2026-04-25 23:59:00
PRD-ELHA-00000017,ELHA,TVs & Audio,True,2026-04-25 23:59:00
PRD-ELHA-00000018,ELHA,TVs & Audio,True,2026-04-25 23:59:00
