dataset,column,dtype,non_null_count,null_rate
bad_snapshots,bad_record_id,str,4,0.0
bad_snapshots,source_dataset,str,4,0.0
bad_snapshots,error_reason,str,4,0.0
bad_snapshots,raw_record,str,4,0.0
bad_snapshots,ingest_ts,str,4,0.0
customers,customer_id,str,800,0.0
customers,anonymous_id,str,800,0.0
customers,signup_ts,datetime64[us],800,0.0
customers,created_ts,datetime64[us],800,0.0
customers,country,str,800,0.0
customers,region,str,800,0.0
customers,city,str,800,0.0
customers,city_code,str,800,0.0
customers,segment,str,800,0.0
customers,marketing_opt_in,bool,800,0.0
customers,preferred_device,str,800,0.0
customers,acquisition_channel,str,800,0.0
inventory_snapshots,snapshot_id,str,1200,0.0
inventory_snapshots,product_id,str,1200,0.0
inventory_snapshots,seller_id,str,1200,0.0
inventory_snapshots,snapshot_ts,datetime64[us],1200,0.0
inventory_snapshots,stock_on_hand,int64,1200,0.0
inventory_snapshots,reserved_stock,int64,1200,0.0
order_items,order_item_id,str,6821,0.0
order_items,order_id,str,6821,0.0
order_items,product_id,str,6821,0.0
order_items,seller_id,str,6821,0.0
order_items,primary_category,str,6821,0.0
order_items,primary_subcategory,str,6821,0.0
order_items,quantity,int64,6821,0.0
order_items,unit_price,float64,6821,0.0
order_items,gross_amount,float64,6821,0.0
order_items,discount_amount,float64,6821,0.0
order_items,net_amount,float64,6821,0.0
order_items,promotion_id,str,2235,0.67234
order_items,created_ts,datetime64[us],6821,0.0
orders,order_id,str,1800,0.0
orders,customer_id,str,1800,0.0
orders,session_id,str,1800,0.0
orders,anonymous_id,str,1800,0.0
orders,order_timestamp,datetime64[us],1800,0.0
orders,created_ts,datetime64[us],1800,0.0
orders,order_date,str,1800,0.0
orders,primary_category,str,1800,0.0
orders,status,str,1800,0.0
orders,shipping_city,str,1800,0.0
orders,shipping_region,str,1800,0.0
orders,shipping_method,str,1752,0.02667
orders,fulfillment_channel,str,1036,0.42444
orders,promotion_id,str,565,0.68611
orders,coupon_code,str,565,0.68611
orders,item_count,int64,1800,0.0
orders,order_gross_amount,float64,1800,0.0
orders,order_discount_amount,float64,1800,0.0
orders,order_net_amount,float64,1800,0.0
payments,payment_id,str,1800,0.0
payments,order_id,str,1800,0.0
payments,customer_id,str,1800,0.0
payments,payment_timestamp,datetime64[us],1800,0.0
payments,created_ts,datetime64[us],1800,0.0
payments,payment_method,str,1800,0.0
payments,amount,float64,1800,0.0
payments,payment_status,str,1800,0.0
payments,failure_reason,str,57,0.96833
product_category_map,product_id,str,738,0.0
product_category_map,category,str,738,0.0
product_category_map,subcategory,str,738,0.0
product_category_map,is_primary,bool,738,0.0
product_category_map,assigned_ts,datetime64[us],738,0.0
products,product_id,str,600,0.0
products,seller_id,str,600,0.0
products,primary_category,str,600,0.0
products,primary_subcategory,str,600,0.0
products,brand,str,589,0.01833
products,product_name,str,600,0.0
products,base_price,float64,600,0.0
products,price_band,str,600,0.0
products,is_active,bool,600,0.0
products,created_ts,datetime64[us],600,0.0
products,fulfillment_channel,str,343,0.42833
products,category_attributes,str,343,0.42833
promotions,promotion_id,str,16,0.0
promotions,promotion_name,str,16,0.0
promotions,funding_type,str,16,0.0
promotions,funding_detail,str,6,0.625
promotions,seller_id,str,6,0.625
promotions,category,str,16,0.0
promotions,discount_rate,float64,16,0.0
promotions,promotion_start_ts,datetime64[us],16,0.0
promotions,promotion_end_ts,datetime64[us],16,0.0
promotions,created_ts,datetime64[us],16,0.0
sellers,seller_id,str,80,0.0
sellers,seller_name,str,80,0.0
sellers,seller_tier,str,80,0.0
sellers,primary_category,str,80,0.0
sellers,city,str,80,0.0
sellers,region,str,80,0.0
sellers,seller_rating,float64,80,0.0
sellers,fulfillment_speed_days,float64,80,0.0
sellers,inventory_reliability,float64,80,0.0
sellers,price_band,str,80,0.0
sellers,is_official_store,bool,80,0.0
sellers,created_ts,datetime64[us],80,0.0
shipments,shipment_id,str,1800,0.0
shipments,order_id,str,1800,0.0
shipments,customer_id,str,1800,0.0
shipments,shipping_city,str,1800,0.0
shipments,shipping_region,str,1800,0.0
shipments,shipping_method,str,1752,0.02667
shipments,shipment_status,str,1800,0.0
shipments,handoff_ts,datetime64[us],1743,0.03167
shipments,estimated_delivery_ts,datetime64[us],1743,0.03167
shipments,created_ts,datetime64[us],1800,0.0
